feature	UNMAPPED	UNINTEGRATED	X1CMET2.PWY..folate.transformations.III..E..coli.	ANAGLYCOLYSIS.PWY..glycolysis.III..from.glucose.	ARGININE.SYN4.PWY..L.ornithine.biosynthesis.II	ARGSYN.PWY..L.arginine.biosynthesis.I..via.L.ornithine.	ARGSYNBSUB.PWY..L.arginine.biosynthesis.II..acetyl.cycle.	ARO.PWY..chorismate.biosynthesis.I	ASPASN.PWY..superpathway.of.L.aspartate.and.L.asparagine.biosynthesis	BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.chain.amino.acid.biosynthesis	CALVIN.PWY..Calvin.Benson.Bassham.cycle	CITRULBIO.PWY..L.citrulline.biosynthesis	COA.PWY.1..superpathway.of.coenzyme.A.biosynthesis.III..mammals.	COA.PWY..coenzyme.A.biosynthesis.I..prokaryotic.	COBALSYN.PWY..superpathway.of.adenosylcobalamin.salvage.from.cobinamide.I	COMPLETE.ARO.PWY..superpathway.of.aromatic.amino.acid.biosynthesis	DTDPRHAMSYN.PWY..dTDP..beta..L.rhamnose.biosynthesis	GLCMANNANAUT.PWY..superpathway.of.N.acetylglucosamine..N.acetylmannosamine.and.N.acetylneuraminate.degradation	GLUCOSE1PMETAB.PWY..glucose.and.glucose.1.phosphate.degradation	GLUTORN.PWY..L.ornithine.biosynthesis.I	GLYCOGENSYNTH.PWY..glycogen.biosynthesis.I..from.ADP.D.Glucose.	HISDEG.PWY..L.histidine.degradation.I	HISTSYN.PWY..L.histidine.biosynthesis	HSERMETANA.PWY..L.methionine.biosynthesis.III	ILEUSYN.PWY..L.isoleucine.biosynthesis.I..from.threonine.	LACTOSECAT.PWY..lactose.and.galactose.degradation.I	METH.ACETATE.PWY..methanogenesis.from.acetate	NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	NONOXIPENT.PWY..pentose.phosphate.pathway..non.oxidative.branch..I	OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli.	P164.PWY..purine.nucleobases.degradation.I..anaerobic.	P41.PWY..pyruvate.fermentation.to.acetate.and..S..lactate.I	PANTO.PWY..phosphopantothenate.biosynthesis.I	PANTOSYN.PWY..superpathway.of.coenzyme.A.biosynthesis.I..bacteria.	PENTOSE.P.PWY..pentose.phosphate.pathway	PEPTIDOGLYCANSYN.PWY..peptidoglycan.biosynthesis.I..meso.diaminopimelate.containing.	PWY.1042..glycolysis.IV	PWY.2942..L.lysine.biosynthesis.III	PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	PWY.3841..folate.transformations.II..plants.	PWY.4984..urea.cycle	PWY.5030..L.histidine.degradation.III	PWY.5097..L.lysine.biosynthesis.VI	PWY.5100..pyruvate.fermentation.to.acetate.and.lactate.II	PWY.5103..L.isoleucine.biosynthesis.III	PWY.5154..L.arginine.biosynthesis.III..via.N.acetyl.L.citrulline.	PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	PWY.5384..sucrose.degradation.IV..sucrose.phosphorylase.	PWY.5659..GDP.mannose.biosynthesis	PWY.5667..CDP.diacylglycerol.biosynthesis.I	PWY.5676..acetyl.CoA.fermentation.to.butanoate.II	PWY.5686..UMP.biosynthesis.I	PWY.5695..inosine.5..phosphate.degradation	PWY.5941..glycogen.degradation.II	PWY.5973..cis.vaccenate.biosynthesis	PWY.6121..5.aminoimidazole.ribonucleotide.biosynthesis.I	PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II	PWY.6123..inosine.5..phosphate.biosynthesis.I	PWY.6124..inosine.5..phosphate.biosynthesis.II	PWY.6125..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.II	PWY.6126..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.II	PWY.6147..6.hydroxymethyl.dihydropterin.diphosphate.biosynthesis.I	PWY.6151..S.adenosyl.L.methionine.salvage.I	PWY.6163..chorismate.biosynthesis.from.3.dehydroquinate	PWY.621..sucrose.degradation.III..sucrose.invertase.	PWY.6270..isoprene.biosynthesis.I	PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis	PWY.6317..D.galactose.degradation.I..Leloir.pathway.	PWY.6385..peptidoglycan.biosynthesis.III..mycobacteria.	PWY.6386..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.II..lysine.containing.	PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing.	PWY.6527..stachyose.degradation	PWY.6608..guanosine.nucleotides.degradation.III	PWY.6609..adenine.and.adenosine.salvage.III	PWY.6628..superpathway.of.L.phenylalanine.biosynthesis	PWY.6629..superpathway.of.L.tryptophan.biosynthesis	PWY.6700..queuosine.biosynthesis.I..de.novo.	PWY.6703..preQ0.biosynthesis	PWY.6731..starch.degradation.III	PWY.6823..molybdopterin.biosynthesis	PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I	PWY.6897..thiamine.diphosphate.salvage.II	PWY.6936..seleno.amino.acid.biosynthesis..plants.	PWY.702..L.methionine.biosynthesis.II	PWY.7111..pyruvate.fermentation.to.isobutanol..engineered.	PWY.7117..C4.photosynthetic.carbon.assimilation.cycle..PEPCK.type	PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	PWY.7199..pyrimidine.deoxyribonucleosides.salvage	PWY.7208..superpathway.of.pyrimidine.nucleobases.salvage	PWY.7220..adenosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	PWY.7222..guanosine.deoxyribonucleotides.de.novo.biosynthesis.II	PWY.7228..superpathway.of.guanosine.nucleotides.de.novo.biosynthesis.I	PWY.7229..superpathway.of.adenosine.nucleotides.de.novo.biosynthesis.I	PWY.7234..inosine.5..phosphate.biosynthesis.III	PWY.7237..myo...chiro..and.scyllo.inositol.degradation	PWY.7238..sucrose.biosynthesis.II	PWY.724..superpathway.of.L.lysine..L.threonine.and.L.methionine.biosynthesis.II	PWY.7328..superpathway.of.UDP.glucose.derived.O.antigen.building.blocks.biosynthesis	PWY.7357..thiamine.phosphate.formation.from.pyrithiamine.and.oxythiamine..yeast.	PWY.7560..methylerythritol.phosphate.pathway.II	PWY.7663..gondoate.biosynthesis..anaerobic.	PWY.7790..UMP.biosynthesis.II	PWY.7791..UMP.biosynthesis.III	PWY.7851..coenzyme.A.biosynthesis.II..eukaryotic.	PWY.7953..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.III..meso.diaminopimelate.containing.	PWY.7977..L.methionine.biosynthesis.IV	PWY.8178..pentose.phosphate.pathway..non.oxidative.branch..II	PWY.8187..L.arginine.degradation.XIII..reductive.Stickland.reaction.	PWY.841..superpathway.of.purine.nucleotides.de.novo.biosynthesis.I	PWY.I9..L.cysteine.biosynthesis.VI..from.L.methionine.	PWY0.1296..purine.ribonucleosides.degradation	PWY0.1319..CDP.diacylglycerol.biosynthesis.II	PWY0.1586..peptidoglycan.maturation..meso.diaminopimelate.containing.	PWY66.429..fatty.acid.biosynthesis.initiation..mitochondria.	PYRIDNUCSYN.PWY..NAD.de.novo.biosynthesis.I..from.aspartate.	RHAMCAT.PWY..L.rhamnose.degradation.I	RIBOSYN2.PWY..flavin.biosynthesis.I..bacteria.and.plants.	SER.GLYSYN.PWY..superpathway.of.L.serine.and.glycine.biosynthesis.I	THISYN.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.I	THISYNARA.PWY..superpathway.of.thiamine.diphosphate.biosynthesis.III..eukaryotes.	THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	TRNA.CHARGING.PWY..tRNA.charging	TRPSYN.PWY..L.tryptophan.biosynthesis	UDPNAGSYN.PWY..UDP.N.acetyl.D.glucosamine.biosynthesis.I	VALSYN.PWY..L.valine.biosynthesis
AE2332	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	NA	-6.35552002376256	-6.35552002376256	NA	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	NA	NA	NA	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	NA	NA	-6.35552002376256	-6.35552002376256	NA	-7.09843699132654	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	NA	-6.35552002376256	-6.35552002376256	-36.1153693539989	NA	-6.35552002376256	-6.35592854333118	-6.58826668142174	-6.35552002376256	NA	-6.35552002376256	-24.3719501671623	NA	-6.35552002376256	NA	NA	-6.35552002376256	NA	NA	NA	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256	-7.1790888097266	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	NA	NA	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35554630038371	-6.35552002376256	NA	-6.55428481554034	-6.35552002376256	-6.35552002376256	-6.35552002376256	NA	-6.35552002376256
AH2343	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	-6.1603588329821	-6.16034673737617	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	NA	-6.16049592206481	-8.87770211588444	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-15.1363647059191	NA	NA	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	NA	NA	-6.16034673737617	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	NA	-6.16034673737617	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	NA	-17.3230941527833	NA	-6.16034673737617	NA	NA	-7.69606327967394	NA	NA	-6.16034673737617	NA	NA	NA	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	-6.16034673737617	NA	NA	NA	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617	NA	NA	-6.16034673737617	-6.16034673737617	NA	NA	-11.5236235918799	-6.16034673737617	-6.16034673737617	NA	-6.16034673737617
AK2351	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-7.26276026082072	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413154606832	-6.29413061062455	NA	NA	-6.29413061062455	-6.29413061062455	NA	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-37.928449058777	-6.29413061062455	NA	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	NA	-18.6981064501471	NA	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	NA	NA	-6.29413061062455	-6.29413061062455	-18.6981064501471	-16.4434595269108	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	NA	-6.29413061062455	-6.29413061062455	-6.73514156999176	NA	-6.29413061062455	-6.29413061062455	-8.88529396703282	NA	NA	-6.29413061062455	NA	NA	-6.29413061062455	NA	NA	-6.29413061062455	NA	NA	NA	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455	-16.6359458032478	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	NA	NA	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.29413061062455	-6.3028869467257	NA	-6.49010030765903	-6.29413061062455	NA	-8.68385049111394	-6.29413061062455	-6.29413061062455	-6.29413061062455	NA	-6.29413061062455
AK2371	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-33.9368379189529	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33250015465039	-6.33226681419453	NA	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.40922196528749	NA	NA	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	NA	NA	-6.33226681419453	-6.33226681419453	NA	-22.32593549123	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.80349592114568	NA	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	NA	NA	-6.33226681419453	NA	NA	-6.33226681419453	NA	NA	NA	NA	-6.47454902376277	-6.33226681419453	-6.33226681419453	-32.837302245402	-6.33226681419453	-22.5185765348448	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	NA	NA	NA	-6.33226681419453	-6.33226681419453	NA	-6.33226681419453	-6.33226681419453	-25.64616075805	-6.3322668162143	-6.33226681419453	NA	NA	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453	-6.33226681419453
AM2310	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-37.9682197060547	-6.3339012579022	-6.3339012579022	NA	NA	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	NA	-6.3339012579022	-6.3339012579022	-6.34776298497294	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.46961513656377	-6.3339012579022	NA	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	NA	NA	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	NA	NA	-6.3339012579022	-6.3339012579022	NA	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	-9.31840077914141	NA	-6.3339012579022	-10.2391695947974	-6.3339012579022	-6.3339012579022	-7.09711900616849	NA	-6.3339012579022	NA	-6.33695973034792	-6.3339012579022	-24.368694237347	-6.3339012579022	NA	NA	-6.3339012579022	NA	NA	-6.3339012579022	NA	NA	NA	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.33409541342794	-6.33393877105782	NA	NA	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	NA	NA	-24.6317131462444	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.3339012579022	-13.9672712182896	NA	-6.33392539727757	-6.3339012579022	NA	-6.33395752728004	-6.3339012579022	-6.3339012579022	-6.3339012579022	-6.36149279215892	-6.3339012579022
AM2314	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-20.6089710670759	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	NA	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.52068727698515	-6.50835749726375	NA	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.53428912245469	NA	NA	-6.50835749726375	-7.38217213642759	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	NA	NA	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50907269465792	NA	-6.50835749726375	-6.50835749726375	-6.54636758833376	-6.50835749726375	NA	-6.50835749726375	NA	NA	-6.50835749726375	NA	NA	-6.50835749726375	NA	NA	NA	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.52327306888027	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	NA	NA	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375	-6.50835749726375	NA	-6.54049412656479	-6.50835749726375	-6.50835749726375	-6.50835749726375	NA	-6.50835749726375
AN2355	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	-6.09980011304833	-6.09939454794272	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	NA	NA	-6.10134022173578	-6.09939454794272	NA	-6.09939454794272	NA	-6.09939454794272	NA	NA	-6.09939454794272	-6.09939454794272	NA	NA	NA	-6.09939454794272	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	-6.09939454794272	NA	NA	-6.09939454794272	NA	-6.09939454794272	NA	NA	NA	NA	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	-7.57838872168123	-32.0518889561214	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	-15.6415791490894	-15.0575838819975	NA	-6.09939461243119	-6.09939454794272	NA	NA	-6.09939454794272	-7.97961569137123	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	NA	-6.09939454794272	NA	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	NA	-6.10799179413461	-21.9331669394971	NA	NA	-6.09939454794272	NA	NA	-6.09939454794272	-15.8636951449868	-16.2783178754368	-6.09939454794272	-16.2783178754368	-15.2795618284519	-14.2820466692005	NA	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	-15.5312740620499	NA	-32.3761609914771	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	-14.4740709107552	NA	-6.21024767213174	-6.09939454794272	-6.09939454794272	-6.09939454794272	-6.09939454794272	NA	-6.09939454866407	-6.09939454794272	NA	NA	-6.09939454794272	-6.09939469827155	-6.09939454794272	NA	-6.09939454794272
AP2348	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	-6.1997920727708	-6.19979185867485	NA	-6.19979185867485	-6.19979185867485	-6.19979186026181	-6.19979185867485	-6.19979185867485	NA	NA	-6.19979185867485	-6.19979185867485	NA	-6.19979185867485	-6.46454456566429	-6.1997920727708	NA	NA	-6.19979185867485	-6.19979185867485	NA	NA	-6.77911964892245	-6.19979185896338	-6.19979185881911	NA	-6.19979185867485	-6.19979185867485	-6.19979467683809	-12.8566153573416	-6.19979185867485	NA	NA	-6.19979185867485	-6.77911964892245	-6.19979220117069	NA	NA	NA	NA	-6.19979185867485	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	NA	NA	-6.19979185867485	-6.19979185867485	NA	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	NA	-6.19979185867485	NA	-6.1997918683409	-6.19979185867485	NA	NA	-6.19979185867485	NA	NA	-6.58068212360211	NA	-6.19979185867485	NA	NA	-6.19979185867485	NA	NA	-6.19979185867485	NA	NA	NA	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	-6.19979185867485	NA	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	NA	NA	NA	-6.19979185867485	-6.19979185867485	-6.19979185867485	-6.19979185867485	-7.04284381338029	NA	-6.19979185867485	-6.19999095163163	NA	NA	-6.19979192099927	-6.19979185867485	-6.1997918820465	NA	-6.19979185867485
AS2315	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	NA	-6.20835869686275	-6.20835869686275	-6.20835869686275	-28.3236962158448	-6.20835869686275	-16.9925892733947	NA	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	NA	-6.20837180986611	-6.20835869686275	-6.20835869686275	-28.4482144504049	-6.20835869686275	-6.29495529914429	-6.20835869686275	NA	NA	-6.20835869686275	-18.577006400512	NA	NA	NA	-6.20835869686275	-6.20835869686275	-21.9113625123653	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.34401182719083	-6.20835869686275	NA	NA	-6.20835869686275	NA	-6.20835869686275	NA	NA	NA	NA	-6.20835869686275	NA	-6.20835869686275	-6.20835869686275	-6.20836088240312	-9.53089043775099	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	NA	NA	NA	-6.20835869686275	-6.20835869686275	NA	NA	-6.20835869686275	-6.20836197510242	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.52096030543497	NA	-6.20835869686275	NA	-6.20835869686275	-6.20835869686275	-6.21227536244673	-6.23235253140478	-6.20835869686275	NA	-6.23560635040827	-24.6603345242881	NA	-6.20835869686275	NA	NA	-6.20835869686275	NA	NA	-6.20835869686275	NA	NA	NA	NA	-6.20835869686275	-6.20835869686275	-6.20835869686275	NA	-6.20835869686275	NA	-9.82368450385483	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	-18.2551462117156	NA	NA	NA	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835869686275	-6.20835875226224	-10.7268770464579	NA	-6.20835869686275	NA	-9.5533961270885	-6.20835869686275	-6.20835869686275	-6.20835869686275	NA	-6.20835869686275
AT2302	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241101500789	-6.30241099394454	NA	NA	-6.30241099394454	-6.30241099394454	NA	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.39747580077617	-6.30241099394454	NA	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-24.6243191451535	NA	-30.3220195979818	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	NA	NA	-6.30241099394454	-6.30241099394454	NA	-22.0996764678154	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454	NA	-6.30241099394454	-6.30241099394454	-26.3090435750019	NA	-6.30241099394454	-6.30595686285746	-20.408934295445	-6.30241102553956	NA	-6.30241099394454	NA	NA	-6.30241099394454	NA	NA	-6.30241099394454	NA	NA	NA	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-25.9943371213897	-6.30241099394454	-22.292319198521	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	NA	NA	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.30241099394454	-6.31531989089274	NA	-6.30241099394454	-6.30241102510675	NA	-20.1638371462813	-6.30241099394454	-6.30241099394454	-6.30241099394454	NA	-6.30241099394454
