"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"K17235"	"duration"	"Week 6"	"durationWeek 6"	-0.209189303864223	0.340006290024792	0.738172782268284	1	3.38709271946398e-21	1.50861109724926e-18	"abundance"	68	63
"K22024"	"duration"	"Week 6"	"durationWeek 6"	-0.130971650787784	0.295209235242	0.9025245230727	1	1.26767072712124e-06	0.000352887838662376	"abundance"	68	56
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K06884"	"duration"	"Week 6"	"durationWeek 6"	-0.00769862382444475	0.00429361334123009	0.170867140472034	NA	1.60937030036077e-27	1.80147639952284e-24	"abundance"	68	5
"K07115"	"duration"	"Week 6"	"durationWeek 6"	0.734652627031883	0.257367452669276	0.0242859901312937	NA	0.00372078547198737	0.248824015158403	"abundance"	68	9
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K11689"	"duration"	"Week 6"	"durationWeek 6"	0.584416802837151	0.208664229782146	0.0676912703377203	NA	1.61393430672492e-27	1.80147639952284e-24	"abundance"	68	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K16079"	"duration"	"Week 6"	"durationWeek 6"	2.08395867946948	0.536437775757248	0.0277683739182646	NA	1.61785038125087e-27	1.80147639952284e-24	"abundance"	68	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K21638"	"duration"	"Week 6"	"durationWeek 6"	-1.90197163010867	0.608727341015737	0.0504750521244789	NA	1.99733549809978e-24	1.00630081744947e-21	"abundance"	68	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K00602"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.0010540992342764	0.111784714034931	"prevalence"	68	68
"K01567"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00242658856540548	0.180284881803007	"prevalence"	68	68
"K01740"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000100757205660794	0.0186988580838824	"prevalence"	68	68
"K01810"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00243747831826134	0.180284881803007	"prevalence"	68	68
"K01872"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000694833217765873	0.0884224900551199	"prevalence"	68	68
"K01874"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000152596979717917	0.0271866779065441	"prevalence"	68	68
"K01956"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00164685838418345	0.152338650884462	"prevalence"	68	68
"K02118"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00255806505591407	0.180851139032401	"prevalence"	68	68
"K02357"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00167593037569345	0.152338650884462	"prevalence"	68	68
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K02874"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000198215674952339	0.0326982450458415	"prevalence"	68	68
"K02878"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000344480041939259	0.0529073829930159	"prevalence"	68	68
"K02884"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000448978930169308	0.0624922548429405	"prevalence"	68	68
"K02899"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00211303591473372	0.171117490258618	"prevalence"	68	68
"K02906"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00268319681345829	0.186733728236613	"prevalence"	68	68
"K02926"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00155468431002539	0.148274754343433	"prevalence"	68	68
"K02946"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00242023804690023	0.180284881803007	"prevalence"	68	68
"K02952"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000986984349314545	0.111784714034931	"prevalence"	68	68
"K02965"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00195565421159098	0.164348752045778	"prevalence"	68	68
"K02986"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000263596753105992	0.0419307120833603	"prevalence"	68	68
"K03551"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00379883992608249	0.248824015158403	"prevalence"	68	68
"K03798"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00220437311460041	0.175326390221968	"prevalence"	68	68
"K04029"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00379213668546343	0.248824015158403	"prevalence"	68	68
"K04043"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.001262733219733	0.130795668853274	"prevalence"	68	68
"K06131"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00250400251496287	0.180284881803007	"prevalence"	68	68
"K06923"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00142403399367624	0.140947720174089	"prevalence"	68	68
"K07124"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000942411836438824	0.110460587355224	"prevalence"	68	68
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"K09457"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000499159534944776	0.0659044988279391	"prevalence"	68	68
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UNGROUPED"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	4.88814686723916e-07	0.000155512901047737	"prevalence"	68	68
"UNMAPPED"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00102431116077825	0.111784714034931	"prevalence"	68	68
