"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"X1.3.99.5"	"duration"	"Week 6"	"durationWeek 6"	0.0790585228042826	0.230320616809611	0.69920514760429	0.997815609958333	0	0	"abundance"	138	131
"X3.6.1.41"	"duration"	"Week 6"	"durationWeek 6"	-0.0913889550932785	0.199304437825219	0.686719712884922	0.997815609958333	5.35597118918205e-61	2.61659792480732e-58	"abundance"	138	127
"X3.2.1.156"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	2.68629509577548	6.96969424007375	0.699922489596271	0.997815609958333	0.00413152366754715	0.143384190232743	"prevalence"	138	137
"X1.3.1.91"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.11271743449252	0.516866232517854	0.805989225565217	1	0.0100360734875479	0.237832472833644	"abundance"	138	98
"X1.8.5.7"	"duration"	"Week 6"	"durationWeek 6"	0.628794310122001	1.60274709348668	0.755732799193476	1	0.00816674930301667	0.215401473283918	"abundance"	138	14
"X2.3.2.2"	"diet"	"oat"	"dietoat"	0.0821138398509903	0.365057412706548	0.973192547078005	1	4.94759449336806e-26	1.57110863136903e-23	"abundance"	138	131
"X2.3.2.2"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.0812204679042154	0.296790565907943	0.824533117408286	1	0	0	"abundance"	138	131
"X2.7.11.33"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.00267155381631396	0.219876877677869	0.936362436237978	1	6.53856268831229e-23	1.73026715139464e-20	"abundance"	138	127
"X2.7.11.33"	"duration"	"Week 6"	"durationWeek 6"	0.0101136610466979	0.150328162922759	0.891928226755749	1	0	0	"abundance"	138	127
"X2.7.4.28"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.00267155381631396	0.219876877677869	0.936366327962129	1	6.53856268831229e-23	1.73026715139464e-20	"abundance"	138	127
"X2.7.4.28"	"duration"	"Week 6"	"durationWeek 6"	0.0101136610466979	0.150328162922759	0.891932566618961	1	0	0	"abundance"	138	127
"X3.5.1.49"	"diet"	"oat"	"dietoat"	-0.0604709766965921	0.390299998271994	0.739441385793152	1	0.000139271898500402	0.0153784435670164	"abundance"	138	129
"X3.5.1.49"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.0629637693196304	0.394387560190721	0.844050233489026	1	0.00109516071188295	0.0608013485459341	"abundance"	138	129
"X3.5.4.1"	"diet"	"oat"	"dietoat"	-0.00186808357642084	0.357553244385341	0.841793543369398	1	0.00817379232584225	0.215401473283918	"abundance"	138	133
"X3.6.1.41"	"diet"	"oat"	"dietoat"	0.127346247833012	0.416484996654	0.890500859411033	1	1.07057958550188e-25	3.23773854643925e-23	"abundance"	138	127
"X3.6.1.41"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	0.0816825059254049	0.296192091552336	0.823003390226639	1	2.03591457279969e-10	4.61789051851816e-08	"abundance"	138	127
"X3.6.3.15"	"diet"	"oat"	"dietoat"	0.0479107036790996	0.474146595957458	0.963292688034245	1	0.00022453044051383	0.021605951934899	"abundance"	138	132
"X3.6.3.15"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	-0.00279907063528374	0.349273352178763	0.959529561239815	1	0.000237955773619973	0.0219022770762384	"abundance"	138	132
"X6.3.2.3"	"diet"	"oat"	"dietoat"	0.185504201803541	0.414381624292339	0.780704570975333	1	9.04955255004063e-10	1.9157902748436e-07	"abundance"	138	133
"X1.14.99.46"	"diet"	"oat"	"dietoat"	-0.159464890968032	1.44008611490656	0.91182816742311	1	0.00282696887361338	0.112057847100594	"prevalence"	138	17
"X1.17.1.2"	"diet"	"oat"	"dietoat"	0	2.34711106568164	1	1	0.00607470518072341	0.180282488798011	"prevalence"	138	137
"X1.17.1.2"	"duration"	"Week 6"	"durationWeek 6"	1.81023241204889e-13	2.33002337005098	0.999999999999938	1	0.000857792503552923	0.0513947187741945	"prevalence"	138	137
"X1.2.7.5"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	3.89150310055216e-07	2.49873388978014	0.999999875738259	1	0.0102684653679194	0.241537124265392	"prevalence"	138	126
"X1.3.1.20"	"duration"	"Week 6"	"durationWeek 6"	7.03380248482038e-06	1.46750473784267	0.999996175710877	1	0.00592485745441225	0.178752101081774	"prevalence"	138	122
"X3.1.2.12"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	3.19147592908265	714.12890135937	0.996434227926094	1	0.000304514148305634	0.0251164851414167	"prevalence"	138	137
"X3.1.2.12"	"duration"	"Week 6"	"durationWeek 6"	10.0865532692561	145.697470572521	0.944806995201949	1	0.0076990090828688	0.208959002928631	"prevalence"	138	137
"X3.6.3.24"	"duration"	"Week 6"	"durationWeek 6"	2.33462357228941e-06	3.17493005470958	0.999999413290979	1	0.000881206159726458	0.0523041151441377	"prevalence"	138	128
"X3.6.3.36"	"duration"	"Week 6"	"durationWeek 6"	-0.573605327546167	0.596785600729961	0.336472669002281	0.947216766765455	0.00177156762984662	0.0821257373515029	"prevalence"	138	68
"X1.1.1.289"	"duration"	"Week 6"	"durationWeek 6"	-0.75273881059672	0.885030638665181	0.395034443548432	0.956134514275923	0.00124182074234916	0.0651801945013181	"prevalence"	138	83
"X2.7.11.17"	"duration"	"Week 6"	"durationWeek 6"	-0.93921430588069	1.41815688375388	0.507792982582768	0.971695959776285	5.54454778258538e-05	0.00704268459343995	"prevalence"	138	113
"X3.1.1.23"	"duration"	"Week 6"	"durationWeek 6"	0.460666514314079	0.686455306430981	0.502169486146096	0.971695959776285	0.00228982804603941	0.0996075200027145	"prevalence"	138	104
"X1.1.1.47"	"duration"	"Week 6"	"durationWeek 6"	2.58063554147875e-13	2.33006653670285	0.999999999999912	1	0.00158065750386254	0.0764815537485384	"prevalence"	138	136
"X1.2.1.50"	"duration"	"Week 6"	"durationWeek 6"	-5.95528552831751e-06	1.97976720704372	0.999997599904493	1	0.000485587427624979	0.035860066893561	"prevalence"	138	119
"X3.2.1.68"	"duration"	"Week 6"	"durationWeek 6"	-1.74340267132925e-05	1.86626729502476	0.99999254643706	1	0.000284791766920521	0.0243843608437064	"prevalence"	138	123
"X5.1.3.15"	"duration"	"Week 6"	"durationWeek 6"	-1.0481728440767e-05	3.24420347913829	0.999997422107045	1	9.55665770142638e-06	0.00141149611771532	"prevalence"	138	129
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1.1.1.87"	"diet"	"oat:durationWeek 6"	"dietoat:durationWeek 6"	NA	NA	NA	NA	0.00912855632693619	0.225811863374181	"abundance"	138	5
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
