"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PWY.6353..purine.nucleotides.degradation.II..aerobic..g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-1.04761899846107	0.211072595314282	6.93013688568395e-07	0.0017588400802194	1.38602689686882e-06	0.001899697221154	"prevalence"	140	91
"PWY.6606..guanosine.nucleotides.degradation.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-1.04761899846107	0.211072595314282	6.93013688568395e-07	0.0017588400802194	1.38602689686882e-06	0.001899697221154	"prevalence"	140	91
"PWY.6703..preQ0.biosynthesis.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-1.04894261486487	0.211408432305994	6.98832988210727e-07	0.0017588400802194	1.39766548805391e-06	0.001899697221154	"prevalence"	140	91
"PWY.7400..L.arginine.biosynthesis.IV..archaebacteria..g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-1.01834877303366	0.205574511596266	7.28257962384162e-07	0.0017588400802194	1.45651539440866e-06	0.001899697221154	"prevalence"	140	89
"SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-1.04761899846107	0.211072595314282	6.93013688568395e-07	0.0017588400802194	1.38602689686882e-06	0.001899697221154	"prevalence"	140	91
"PWY.5103..L.isoleucine.biosynthesis.III"	"diet"	"time"	"diet:time"	0.027618594227443	0.0170798126470022	9.09440428409347e-07	0.00212556763870874	9.09440428409347e-07	0.00169179644217054	"abundance"	140	140
"OANTIGEN.PWY..O.antigen.building.blocks.biosynthesis..E..coli."	"diet"	"time"	"diet:time"	0.0810721807620734	0.0280035038597331	1.1288077992333e-06	0.00255583250892655	1.1288077992333e-06	0.001899697221154	"abundance"	140	140
"PWY.2942..L.lysine.biosynthesis.III"	"diet"	"time"	"diet:time"	-0.00815888032659126	0.00997669271968521	1.46702159620204e-06	0.00321695560373702	1.46702159620204e-06	0.001899697221154	"abundance"	140	140
"PWY.5097..L.lysine.biosynthesis.VI.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.849200316191116	0.173851962704905	1.51668626935386e-06	0.00321695560373702	1.51668626935386e-06	0.001899697221154	"abundance"	140	111
"VALSYN.PWY..L.valine.biosynthesis"	"diet"	"time"	"diet:time"	0.003153819093201	0.0124522331717448	1.55399903567499e-06	0.00321695560373702	1.55399903567499e-06	0.001899697221154	"abundance"	140	140
"TRNA.CHARGING.PWY..tRNA.charging"	"diet"	"time"	"diet:time"	0.00896868213971013	0.0136825691392342	1.62193149799705e-06	0.00326431735432996	1.62193149799705e-06	0.0019276655853695	"abundance"	140	140
"PWY.5005..biotin.biosynthesis.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.928798018889427	0.194985740941465	1.90343734649693e-06	0.00372734187846186	3.80687106992013e-06	0.00396004678145791	"prevalence"	140	80
"PWY.6897..thiamine.diphosphate.salvage.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.899010132846406	0.189241551796973	2.02818117724206e-06	0.00386710102673411	4.05635824096524e-06	0.00403617078367299	"prevalence"	140	80
"X1CMET2.PWY..folate.transformations.III..E..coli."	"diet"	"time"	"diet:time"	0.000711192500169723	0.0121460391384907	2.22253461978905e-06	0.00412901341903067	2.22253461978905e-06	0.00257009097952147	"abundance"	140	140
"RHAMCAT.PWY..L.rhamnose.degradation.I.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.99209866127708	0.211007647003126	2.57980379474288e-06	0.00467292760360751	5.15960093409813e-06	0.00501724285378006	"prevalence"	140	93
"PWY.5941..glycogen.degradation.II.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.715898490607945	0.152907065396664	2.80304519173491e-06	0.00468734249291379	5.60608252640747e-06	0.00521438797771457	"abundance"	140	123
"PWY.6122..5.aminoimidazole.ribonucleotide.biosynthesis.II"	"diet"	"time"	"diet:time"	0.0134617939346007	0.0150532359867807	2.84653807502977e-06	0.00468734249291379	2.84653807502977e-06	0.00312287123277497	"abundance"	140	140
"PWY.6277..superpathway.of.5.aminoimidazole.ribonucleotide.biosynthesis"	"diet"	"time"	"diet:time"	0.0134617939346007	0.0150532359867807	2.75247075320895e-06	0.00468734249291379	2.75247075320895e-06	0.00309913720123153	"abundance"	140	140
"GOLPDLCAT.PWY..superpathway.of.glycerol.degradation.to.1.3.propanediol.g__Blautia.s__Ruminococcus_torques"	"diet"	"diet"	"diet"	-0.959183261417716	0.204494854539036	2.72537276726909e-06	0.00468734249291379	5.45073810688147e-06	0.0051825617920229	"prevalence"	140	91
