"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"X1.3.99.5"	"timepoint"	"after"	"timepointafter"	13.0976983468045	0.227186821662067	0	0	0	0	"prevalence"	138	131
"X2.3.2.2"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	15.8998339327933	0.152948635202341	0	0	0	0	"prevalence"	138	131
"X2.3.3.16"	"timepoint"	"after"	"timepointafter"	-13.9066771002519	0.2442386858759	0	0	0	0	"prevalence"	138	120
"X2.7.11.33"	"timepoint"	"after"	"timepointafter"	-13.941070251266	0.158602780435575	0	0	0	0	"prevalence"	138	127
"X2.7.4.28"	"timepoint"	"after"	"timepointafter"	-13.941070251266	0.158602780435575	0	0	0	0	"prevalence"	138	127
"X3.2.1.64"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	13.1944356155261	0.323877436811473	0	0	0	0	"prevalence"	138	126
"X3.4.21.83"	"timepoint"	"after"	"timepointafter"	-14.3435719464711	0.127932220796905	0	0	0	0	"prevalence"	138	121
"X6.6.1.1"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	13.7272417726502	0.035532943122162	0	0	0	0	"prevalence"	138	130
"X6.6.1.1"	"timepoint"	"after"	"timepointafter"	2.69188428683867	0.0355302218903387	0	0	0	0	"prevalence"	138	130
"X2.4.1.247"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	-13.4409185265215	0.406867315581849	2.54298620156103e-239	2.36370567435098e-236	5.08597240312161e-239	3.23010107322253e-236	"prevalence"	138	123
"X2.4.1.247"	"diet"	"oat"	"dietoat"	14.2489732268732	0.718933179040696	2.01676574357099e-87	1.70416705331749e-84	4.03353148714196e-87	2.32881440680351e-84	"prevalence"	138	123
"X2.3.2.2"	"timepoint"	"after"	"timepointafter"	-2.61240497964087	0.152248913970676	5.40407645502671e-66	4.18590755412278e-63	1.08081529100535e-65	5.72021492764581e-63	"prevalence"	138	131
"X3.6.1.41"	"timepoint"	"after"	"timepointafter"	-11.0869019699346	0.671160574039931	2.67798559459102e-61	1.91475970013258e-58	5.35597118918205e-61	2.61659792480732e-58	"prevalence"	138	127
"X2.3.3.16"	"diet"	"oat"	"dietoat"	-14.8544910149146	1.07421419166583	1.7218329351245e-43	1.14317408085587e-40	3.44366587024901e-43	1.56219442442511e-40	"prevalence"	138	120
"X3.4.21.83"	"diet"	"oat"	"dietoat"	-14.9298393232866	1.13513889109336	1.64783300953377e-39	1.02110718824109e-36	3.29566601906753e-39	1.39538499247319e-36	"prevalence"	138	121
"X2.3.3.16"	"diet"	"oat:timepointafter"	"dietoat:timepointafter"	15.4115692705898	1.32866124870554	4.15357167082228e-31	2.41296554251832e-28	8.30714334164455e-31	3.29741671017403e-28	"prevalence"	138	120
