EC,EnzymeName
1.1.1.369,myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
1.1.1.37,malate dehydrogenase
1.1.1.370,scyllo-inositol 2-dehydrogenase (NAD+)
1.1.1.373,4-hydroxybutyrate dehydrogenase / sulfolactaldehyde 3-reductase
1.1.1.38,malate dehydrogenase (oxaloacetate-decarboxylating)
1.1.1.381,3-hydroxy acid dehydrogenase / malonic semialdehyde reductase
1.1.1.385,dihydroanticapsin dehydrogenase
1.1.1.391,3beta-hydroxycholanate 3-dehydrogenase (NAD+)
1.1.1.392,3alpha-hydroxycholanate dehydrogenase (NADP+)
1.1.1.393,3beta-hydroxycholanate 3-dehydrogenase (NADP+)
1.1.1.395,3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase
1.1.1.399,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
1.1.1.4,"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase"
1.1.1.40,malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
1.1.1.405,ribitol-5-phosphate 2-dehydrogenase (NADP+)
1.1.1.41,isocitrate dehydrogenase (NAD+)
1.1.1.411,L-threonate 2-dehydrogenase
1.1.1.414,L-galactonate 5-dehydrogenase
1.1.1.42,isocitrate dehydrogenase
1.1.1.43,phosphogluconate 2-dehydrogenase
1.1.1.44,6-phosphogluconate dehydrogenase
1.1.1.46,L-arabinose 1-dehydrogenase
1.1.1.47,glucose 1-dehydrogenase
1.1.1.48,D-galactose 1-dehydrogenase
1.1.1.49,glucose-6-phosphate 1-dehydrogenase
1.1.1.50,3alpha-hydroxysteroid 3-dehydrogenase / chlordecone reductase
1.1.1.51,aldo-keto reductase family 1 member C3
1.1.1.52,3alpha-hydroxycholanate dehydrogenase (NAD+)
1.1.1.53,3alpha(or 20beta)-hydroxysteroid dehydrogenase
1.1.1.56,ribitol 2-dehydrogenase
1.1.1.57,fructuronate reductase
1.1.1.58,tagaturonate reductase
1.1.1.6,glycerol dehydrogenase
1.1.1.60,2-hydroxy-3-oxopropionate reductase
1.1.1.61,4-hydroxybutyrate dehydrogenase
1.1.1.62,17beta-estradiol 17-dehydrogenase
1.1.1.64,testosterone 17beta-dehydrogenase (NADP+)
1.1.1.65,pyridoxine 4-dehydrogenase
1.1.1.67,mannitol 2-dehydrogenase
1.1.1.69,gluconate 5-dehydrogenase
1.1.1.76,"meso-butanediol dehydrogenase / (S,S)-butanediol dehydrogenase / diacetyl reductase"
1.1.1.77,lactaldehyde reductase
1.1.1.79,glyoxylate/hydroxypyruvate reductase
1.1.1.8,glycerol-3-phosphate dehydrogenase (NAD+)
1.1.1.80,isopropanol dehydrogenase (NADP+)
1.1.1.81,glyoxylate/hydroxypyruvate reductase
1.1.1.83,tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase
1.1.1.85,3-isopropylmalate dehydrogenase
1.1.1.86,ketol-acid reductoisomerase
1.1.1.87,homoisocitrate dehydrogenase
1.1.1.88,hydroxymethylglutaryl-CoA reductase
1.1.1.9,D-xylulose reductase
1.1.1.90,aryl-alcohol dehydrogenase
1.1.1.91,aryl-alcohol dehydrogenase (NADP+)
1.1.1.93,tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase
1.1.1.94,glycerol-3-phosphate dehydrogenase (NAD(P)+)
1.1.1.95,D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
1.1.2.3,L-lactate dehydrogenase (cytochrome)
1.1.2.4,D-lactate dehydrogenase (cytochrome)
1.1.3.15,(S)-2-hydroxy-acid oxidase
1.1.3.21,alpha-glycerophosphate oxidase
1.1.3.46,4-hydroxymandelate oxidase
1.1.5.12,D-lactate dehydrogenase (quinone)
1.1.5.2,quinoprotein glucose dehydrogenase
1.1.5.3,glycerol-3-phosphate dehydrogenase
1.1.5.4,malate dehydrogenase (quinone)
1.1.5.8,quinate dehydrogenase (quinone)
1.1.9.1,quinohemoprotein ethanol dehydrogenase
1.1.98.2,coenzyme F420-dependent glucose-6-phosphate dehydrogenase
1.1.98.6,ribonucleoside-triphosphate reductase (formate)
1.1.99.1,choline dehydrogenase
1.1.99.14,glycolate dehydrogenase FAD-linked subunit
1.1.99.28,glucose-fructose oxidoreductase
1.1.99.3,gluconate 2-dehydrogenase alpha chain
