feature	Bifidobacterium_adolescentis	Bifidobacterium_angulatum	Bifidobacterium_animalis	Bifidobacterium_bifidum	Bifidobacterium_catenulatum	Bifidobacterium_dentium	Bifidobacterium_longum	Bifidobacterium_pseudocatenulatum	Bifidobacterium_pullorum
RA2309	0.807307149886872	NA	NA	NA	NA	NA	0.192692850113128	NA	NA
RS2345	NA	NA	NA	NA	NA	0.00202437281745064	0.997975627182549	NA	NA
SO2346	NA	0.093690584397051	0.000456663109963599	0.348124388005568	0.137835416858773	NA	0.340242558367254	0.0796503892613913	NA
TJ2356	0.802944666080472	NA	NA	NA	NA	NA	0.197055333919528	NA	NA
TK2342	NA	NA	NA	NA	NA	NA	0.271667346106808	0.728332653893192	NA
TL2338	0.663999086587366	NA	0.0430238110066222	NA	NA	NA	0.292977102406012	NA	NA
AH1343	NA	NA	NA	NA	NA	NA	NA	NA	NA
AK1351	0.152297831269644	NA	NA	NA	NA	NA	0.847702168730356	NA	NA
AM1314	NA	NA	1	NA	NA	NA	NA	NA	NA
AN1355	NA	NA	1	NA	NA	NA	NA	NA	NA
AS1315	0.581703944852472	NA	0.0111761014306587	0.165018483835224	NA	0.00963905041135113	0.232462419470293	NA	NA
EK1349	NA	NA	NA	NA	NA	NA	NA	NA	NA
ET1331	0.600666240826033	NA	NA	NA	NA	NA	0.399333759173967	NA	NA
HL1333	0.600361244686535	NA	0.171075837742504	NA	0.0408717155812777	NA	0.172175175302968	0.0155160266867148	NA
HN1327	0.871484228012079	NA	NA	NA	NA	NA	0.128515771987921	NA	NA
HT1321	NA	NA	0.00297299840060213	NA	NA	NA	0.997027001599398	NA	NA
IM1354	0.516807666392154	NA	0.446167144228086	NA	NA	NA	0.03702518937976	NA	NA
JA1369	0.659232489077007	NA	NA	NA	NA	NA	0.340767510922993	NA	NA
JK1312	NA	NA	0.0266694666106678	NA	NA	NA	0.227452673168759	0.745877860220573	NA
KK1350	NA	NA	NA	NA	NA	NA	1	NA	NA
KM1329	0.247110719163275	NA	0.377903006636424	0.266627090610867	NA	NA	0.108359183589434	NA	NA
LT1311	NA	NA	NA	NA	NA	NA	NA	1	NA
MK1305	0.428364637693684	NA	NA	NA	NA	NA	0.571635362306316	NA	NA
MO1363	0.699631431843068	NA	0.0309107288632932	NA	NA	NA	0.254280720731157	0.0151771185624824	NA
MR1322	NA	NA	1	NA	NA	NA	NA	NA	NA
MS1370	0.760569086477106	NA	0.000284948378427652	NA	NA	NA	0.192714234589492	0.0464317305549741	NA
NK1335	0.727350869178428	NA	NA	NA	NA	NA	0.272649130821572	NA	NA
PH1339	0.24613191107356	NA	0.242574061361356	NA	0.448467286264984	NA	0.0628267413001003	NA	NA
PH1359	0.552696330012995	0.0819777441411142	0.00993940489298859	NA	0.00117084401941322	0.00314124091785527	0.350672695072731	0.000401740942902691	NA
PK1313	0.56151858581827	NA	0.104900374972429	NA	NA	NA	0.333581039209302	NA	NA
PT1325	0.521026499081715	NA	0.000282168439707535	0.0974372175221651	NA	NA	0.364294306632938	0.0169598083234739	NA
RK1372	NA	NA	NA	NA	NA	NA	NA	NA	NA
RS1366	0.022140232766559	NA	0.562504812089818	NA	0.000431163247644771	NA	0.129429047467994	0.285494744427985	NA
SH1365	0.715597517522436	NA	0.000560410865609965	NA	NA	NA	0.270972362203084	0.0128697094088707	NA
SK1377	0.344395469637548	NA	NA	NA	NA	NA	0.655604530362452	NA	NA
SN1320	0.246280064240243	NA	NA	NA	NA	NA	0.753719935759757	NA	NA
SS1323	0.220958557126085	NA	NA	NA	NA	NA	0.779041442873915	NA	NA
SV1318	0.552829139441123	NA	0.0973974697622689	NA	NA	NA	0.349773390796608	NA	NA
TS1358	NA	NA	NA	NA	NA	NA	NA	1	NA
VK1336	NA	NA	NA	NA	NA	NA	NA	NA	NA
AH2343	NA	NA	NA	NA	NA	NA	NA	NA	NA
