"variable","measure","comparison","p_value","log2_fold_change","mean_Group1","mean_Group2","p_adjusted"
"group","shannon","diet_1_visit_1_vs_diet_1_visit_2",0.12930773710832,-0.0240296441906268,4.03654478431925,3.96986859442485,0.51723094843328
"group","shannon","diet_2_visit_1_vs_diet_2_visit_2",0.0535295170266183,0.0251532089040231,4.07136507099443,4.14297122380962,0.374706619186328
"group","shannon","diet_1_visit_1_vs_diet_2_visit_1",0.400238236832656,0.0190624420620931,4.03165927631662,4.08528339434553,0.51723094843328
"group","shannon","diet_1_visit_2_vs_diet_2_visit_2",0.0438896340472152,0.0615745458114513,3.96986859442485,4.14297122380962,0.351117072377721
"group","observed","diet_1_visit_1_vs_diet_1_visit_2",0.179531467531428,-0.0461689206328777,273.617647058824,265,0.51723094843328
"group","observed","diet_2_visit_1_vs_diet_2_visit_2",0.0996003292709626,0.036091727952706,294.371428571429,301.828571428571,0.498001646354813
"group","observed","diet_1_visit_1_vs_diet_2_visit_1",0.152145513400091,0.125539302917079,271.942857142857,296.666666666667,0.51723094843328
"group","observed","diet_1_visit_2_vs_diet_2_visit_2",0.0555511537280765,0.187737019771565,265,301.828571428571,0.374706619186328
