"taxon","lfc_diet2","lfc_diet2:visit2","se_diet2","se_diet2:visit2","W_diet2","W_diet2:visit2","p_diet2","p_diet2:visit2","q_diet2","q_diet2:visit2","diff_diet2","diff_diet2:visit2","passed_ss_diet2","passed_ss_diet2:visit2"
"Actinomyces_bouchesdurhonensis",0.611372313890787,0.727895843712533,0.719603942170818,0.970769525891743,0.849595559533025,0.749813240216716,0.400047511428354,0.457269549530027,0.999738393308721,0.972454017407108,FALSE,FALSE,FALSE,TRUE
"Actinomyces_oris",0.5537528840937,-0.0222123573680296,0.767534567760318,0.832191316867974,0.721469634533285,-0.0266914072735435,0.475045227611427,0.978979209740897,0.999738393308721,0.99320081338274,FALSE,FALSE,TRUE,TRUE
"Actinomyces_SGB17157",0.502502476308498,0.677040478459067,0.748160230090904,0.694998315200059,0.671650879180576,0.974161323346773,0.508168286353438,0.348846421375905,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Actinomyces_SGB17163",1.14168818799184,-1.01716409492913,0.903421933411538,0.922597676393543,1.2637375137446,-1.1025001698522,0.229759945471078,0.324763728620813,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Actinomyces_SGB17168",-0.290734418897759,0.300607718387344,0.575007940604915,0.657086343548275,-0.505618093885631,0.457485871284523,0.615092879091039,0.650231927162291,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Actinomyces_sp_HMSC035G02",0.566245278132425,0.33442790516726,0.695999741910585,0.902192411080139,0.813571103601314,0.370683571553068,0.423279110706656,0.713876264708468,0.999738393308721,0.984714566541657,FALSE,FALSE,TRUE,TRUE
"Actinomyces_sp_ICM47",0.177769929637874,-0.295017539106674,0.61242939408299,0.714080679468626,0.290270080690779,-0.413143146970743,0.772563554536271,0.681803850870436,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Actinomyces_sp_ICM58",-0.0195280474355778,0.773446447716518,0.863120335330751,0.987833175652682,-0.0226249418953785,0.782972739506836,0.982099182953115,0.447590431708247,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Adlercreutzia_equolifaciens",-0.390234153500171,0.0979678703227225,0.504908386974279,0.340128945117389,-0.77288110787522,0.288031558998634,0.442190501768115,0.77436064197955,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Agathobaculum_butyriciproducens",0.107716793040228,-0.0975871617640421,0.404138371739614,0.386287214136342,0.266534436155025,-0.252628505922016,0.790353451655344,0.801357586700345,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Akkermansia_muciniphila",0.725031691047884,-0.396291629502377,0.693574451822163,0.619811414129032,1.04535524505419,-0.639374526619926,0.299608278155719,0.525896950305704,0.999738393308721,0.976545662573901,FALSE,FALSE,FALSE,TRUE
"Alistipes_communis",0.47522027996429,-0.677699741099567,0.505711310997197,0.459662325579672,0.939706646124282,-1.47434258451556,0.350939123405301,0.148113458577585,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Alistipes_dispar",-0.609795287735167,0.504878620286446,1.04475517522558,0.794732216055944,-0.583672904614713,0.635281432017482,0.57175707660586,0.542984261257406,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Alistipes_finegoldii",0.136911168577863,-0.318978745562838,0.559123637728516,0.429650929657801,0.244867430634977,-0.742413721336275,0.80732703407472,0.461280522489356,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Alistipes_ihumii",0.247718239608806,-0.246968965977842,0.529032947887585,0.503230606015198,0.468247281379995,-0.490766982424721,0.641197628237056,0.626252793857457,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Alistipes_indistinctus",0.633404165675437,0.237248879705503,0.520422046325322,0.537485891512717,1.21709710445181,0.441404850716699,0.228045288636,0.661703363185696,0.999738393308721,0.976545662573901,FALSE,FALSE,FALSE,TRUE
"Alistipes_onderdonkii",0.156234870896945,-0.181700456610529,0.505203199657625,0.38824183541578,0.309251546709967,-0.468008442253371,0.757972657975061,0.641465106689628,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Alistipes_putredinis",-0.14935408307986,0.0761014638613096,0.480377770965933,0.337344015730493,-0.310909646754765,0.225590081082416,0.756825103293141,0.822310270119683,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Alistipes_senegalensis",0.0477825322604572,-0.506449363967129,0.498843145254949,0.469243260647472,0.095786687087855,-1.07928958482711,0.9240999806834,0.289059974881995,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Alistipes_SGB2313",-1.42810911474732,0.0996663607468804,1.36195142392099,0.336874150211187,-1.04857566111709,0.295856362633937,0.334628301256444,0.779285417090438,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Alistipes_shahii",0.151581383190926,-0.154361344461295,0.439755662121232,0.377535281041654,0.34469455710871,-0.408866011238467,0.731338592714169,0.684345241902032,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Alistipes_sp_AF17_16",0.00258598771507054,-0.46547755644483,0.593533294629204,0.600470561960999,0.00435693791480742,-0.775187970788588,0.99655039079962,0.447401110242642,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Anaerobutyricum_hallii",0.0335511653441065,-0.181970464453719,0.380327615937989,0.33060972328192,0.088216484783416,-0.550408689276654,0.929943051367436,0.584586654210683,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Anaerobutyricum_soehngenii",-0.994200050185708,0.94505923772678,0.663896193528832,0.528637385560132,-1.49752334759023,1.78772683041593,0.139935192025262,0.0817136281014484,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Anaerococcus_SGB15407",-0.728490076038256,0.0935809066468354,1.04214350830686,0.975586583755172,-0.699030479230074,0.095922707635676,0.492944780487702,0.925828909939767,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Anaerofilum_sp_BX8",-0.782498919736842,0.97669276474096,0.775861558656868,0.61484253259721,-1.0085548265743,1.58852504984525,0.319684730207633,0.126141624928676,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Anaerofustis_stercorihominis",0.426479026809706,-0.161759422850885,0.615042546524269,0.650011462758599,0.693413860910641,-0.248856261956351,0.490731784949711,0.80529611001952,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Anaeromassilibacillus_sp_An250",-0.153744045541126,0.138794410065088,0.451670683673911,0.407883587327194,-0.340389693416815,0.340279467910413,0.734472492249804,0.735132263285071,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Anaerosacchariphilus_sp_NSJ_68",0.0122157639743064,-0.646898908498783,0.533030700004982,0.555514636383828,0.0229175617355476,-1.16450380625402,0.98180158796346,0.253383489156306,0.999738393308721,0.972454017407108,FALSE,FALSE,FALSE,TRUE
"Anaerostipes_caccae",2.08782891852189,-0.713473228109205,1.72804365658729,1.24887919836324,1.20820380351104,-0.571290825441139,0.253415208830824,0.589625119775907,0.999738393308721,0.976545662573901,FALSE,FALSE,FALSE,TRUE
"Anaerostipes_hadrus",0.449534662386538,-0.26617834116452,0.367157196019614,0.334500661198695,1.22436565934152,-0.795748325909614,0.223627844350979,0.428995485345518,0.999738393308721,0.972454017407108,FALSE,FALSE,FALSE,TRUE
"Anaerotignum_faecicola",0.0684508500733113,0.0786322948795145,0.504293482281027,0.429344691237905,0.135736138733528,0.183144910101948,0.892656850328719,0.856012111589614,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus_colihominis",0.00837905881539492,0.057451456367833,0.535690719880734,0.603473646037131,0.0156415978556814,0.0952012681002778,0.98758273313155,0.924923992144912,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus_massiliensis",-0.0584832254188917,0.43440737445288,0.796179084861134,0.78857119345159,-0.0734548627700916,0.550879081128327,0.942284492563531,0.599216615010268,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Anaerotruncus_rubiinfantis",0.38765550253068,0.509282792724937,0.481221777859092,0.519349565543183,0.805565168424674,0.980616576028679,0.42356158732466,0.334374409933713,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_caccae",-0.152077832020944,0.390793435330466,0.482806753350439,0.463274835490033,-0.314986961067962,0.843545570346165,0.753836482905887,0.404149650705917,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_cellulosilyticus",-0.43680763631183,0.633101547520504,0.606918143610742,0.469665627242559,-0.719714249623726,1.34798356702722,0.475396958213663,0.186323982869466,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_clarus",-1.53140634618577,0.806329526263453,1.7327488579322,1.0677192706048,-0.883801676841557,0.755188698436352,0.393665168372208,0.470314180329875,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_eggerthii",-0.803843342691084,0.674851671594943,0.773258913581391,0.891083163863562,-1.03955263699198,0.757338595276471,0.308869980699619,0.462354170462955,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_faecis",0.298646906213169,0.337372785170149,0.544184354444924,0.535653699703846,0.548797303292179,0.629833762665463,0.586546286409518,0.5352905807865,0.999738393308721,0.976545662573901,FALSE,FALSE,TRUE,TRUE
"Bacteroides_finegoldii",-0.411340135509442,0.0744587595173171,0.718264971667457,0.782410860761092,-0.572685779949025,0.0951658051434603,0.572869791089726,0.925753833313342,0.999738393308721,0.992497590260549,FALSE,FALSE,TRUE,TRUE
"Bacteroides_fragilis",-0.395861136404439,0.50871429820216,0.561588438631075,0.49832310118064,-0.704895452209429,1.02085232853324,0.483859673915711,0.31442970337148,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_intestinalis",0.341216453673599,0.274268761498855,1.01556314323308,0.550299454018294,0.335987433127325,0.498399116146928,0.739701504474006,0.623455496309872,0.999738393308721,0.976545662573901,FALSE,FALSE,FALSE,TRUE
"Bacteroides_nordii",-0.589853187422463,2.3862009168496,1.09630845161323,1.49984291750607,-0.538035793261002,1.59096721996551,0.597526656857877,0.130039913521603,0.999738393308721,0.972454017407108,FALSE,FALSE,TRUE,TRUE
"Bacteroides_ovatus",0.85693907755187,0.0317969592816422,0.55583828068779,0.393835651003284,1.54170575745791,0.080736619959723,0.127664702990617,0.935936704674392,0.999738393308721,0.992497590260549,FALSE,FALSE,FALSE,TRUE
