clade_name	AE1332	AE2332	AH1343	AH2343	AK1351	AK1371	AK2351	AK2371	AM1310	AM1314	AM2310	AM2314	AN1355	AN2355	AP1348	AP2348	AS1315	AS2315	AT1302	AT2302	EH1307	EH2307	EK1349	EK2349	EP1341	EP2341	ET1331	ET2331	HK1340	HL1333	HL2333	HN1327	HN2327	HP1337	HP2337	HT1321	HT2321	IM1354	IM2354	JA1369	JA2369	JE1361	JE2361	JH1373	JH2373	JK1312	JK2312	JL1316	JL2316	JM1360	JM2360	JP1303	JP2303	JS1364	JS2364	JV1357	JV2357	KH1326	KH2326	KK1350	KK1376	KK2350	KK2376	KL1367	KL2367	KM1329	KM2329	LK1306	LK2306	LT1311	LT2311	MK1305	MK1353	MK2305	MK2353	ML1319	ML1375	ML2319	ML2375	MM1317	MM1328	MM2317	MM2328	MO1363	MO2363	MR1322	MR1334	MR2322	MR2334	MS1330	MS1370	MS2330	MS2370	MV1301	MV2301	NK1335	NK2335	PH1308	PH1339	PH1359	PH2308	PH2339	PH2359	PK1313	PK1324	PK2313	PK2324	PP1368	PT1325	PT2325	RA1309	RA2309	RK1372	RK2372	RS1345	RS1366	RS2345	RS2366	SH1365	SH2365	SK1377	SK2377	SN1320	SN2320	SO1346	SO2346	SS1323	SS2323	SV1318	SV2318	TJ1356	TJ2356	TK1342	TK2342	TL1338	TL2338	TS1358	TS2358	VK1336	VK2336
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__GGB9818	0	0	0	0	0	0.00944	0	0.02044	0	0	0	0	0	0	0	0	0	0	0.01528	0.00282	0.00457	0.00196	0	0	0.01505	0.0115	0	0	0	0.00384	0.00249	0	0	0	0	0.02497	0.0089	0	0	0	0	0.00338	0.00045	0.0292	0.02351	0	0	0	0	0.0046	0.01084	0	0	0	0	0	0	0	0	0	0	0	0	0.00104	0.00221	0	0	0	0	0	0	0	0	0	0	0.00776	0	0.02261	0	0	0	0	0	0	0	0	0	0	0	0.00411	0.01053	0.00225	0.01411	0	0	0	0	0	0.0002	0	0	0.00111	0	0	0	0	0	0	0.03047	0.01629	0	0	0.00034	0.00378	0	0	0	0	0	0	0.01639	0.00815	0.00316	0	0	0	0	0	0	0	0	0	0.00587	0.01513	0	0	0	0.00221	0.03043	0.07385
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3534	0	0.00034	0.00424	0.00636	0	0.00346	0	0.00179	0.0057	0.03509	0.01443	0.06358	0	0	0	0.00353	0.0001	0.0027	0	0.00273	0	0	0.00372	0.02121	0.00548	0.01963	0	0.0022	5.00E-05	0	0	0.01533	0.00732	0.08045	0.01976	0	0	0.002	0	0.0036	0.01241	0.05689	0.01264	0.06244	0.07654	0	0	5.00E-05	0.00648	0.01509	0.02402	0.00245	0.00513	0.0043	0.01337	0	0	0.00346	0.00428	0	0.05912	0	0.09213	0.0019	0	0.00654	0	0.00574	0.00151	0.00067	0.00059	0.00059	0	0	0	0.00389	0	0	0	0	0	0.00021	0.00033	0.00683	0.0036	0	0.00066	0.00077	0	0	0.06555	0	0.03191	0.001	0.00257	0	0	0	0.00956	0	0	0.00714	0	0.01794	0	0.03442	0	0.00175	0	0	0.00965	0.00331	0	0	0	0.00313	0	0.00223	0	0	0.00379	0.00094	0.00084	0	0	0	0	0	0	0	0.00776	0.06605	0	0	0.00066	0	0	0	0.00193	0
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3002	0	0	0.01614	0.03376	0	0.00398	0	0.02822	0.0043	0	0.00279	0	0	0	0	0.00677	0.00109	0	0.00494	0.00253	0	0	0	0	0	0	0	0	0.06146	0	0	0.09738	0.28623	0	0	0	0	0	0	0.01495	0	0.02306	0.01543	0.03812	0.04866	0	0	0.00426	0.00555	0.14151	0.06978	0.01979	0.27151	0	0	0	0	1.2547	0.24947	0	0.03463	0	0.72981	0.00236	0.00242	0	0	0	0	0	0	0	0.01608	0	0.0167	0	0	0	0	0.0022	0.00457	0.0056	0.02514	0.01741	0.00751	0.02445	0.01346	0.09305	0.01677	0.01041	0.58742	0.02654	0.01375	0	0	0.0186	0	0.1998	0.00041	0	0.17953	0.00064	0	0	0	0	0	0	0.00095	0.00018	0.10388	0	0	0	0	0	0	0	0	0	0.00251	0	0	0	0.46619	0.05331	0	0	0	0	0.00168	0.00136	0.0056	0.00649	0.03034	0.03741	0	0	0.01139	0.00239
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Eisenbergiella	0.00022	0.00969	0.0005	0	0.09866	0.00497	0.18656	0.01941	0.07176	0.47172	0.05289	0.33509	0.57251	0.5792	0	0.00017	0.00227	9.00E-05	0.00577	0.00243	0.00336	0	0.0363	0.0024	0.00468	0.0319	0.02776	0.01468	0.0042	0.00896	0	0	0.00087	0.07135	0.2473	0.00812	0.00234	0.004	0	0.04079	0.01432	0.00141	0.00356	0.05519	0.0167	0.1036	0.03893	0.01077	0.00074	0	0.00128	0.00189	0.00501	0.00597	0.00654	0	0	0.00119	0.0143	0	0	0	0	0	0.0144	0	0	0	0.03285	0	0	0.03008	0	0.00618	0.01073	0	0	0	0.0603	0.00142	0	0.00328	0	0.00015	0	0	0	0.19041	0	0.00428	0.01533	0.00701	4.93231	0.00038	0.02031	0	0	0	0	7.00E-05	0.027	0	0.00289	0	0.00255	0	0.00329	0	0.0187	0	0.02334	0.01481	0.01252	0.02272	1.01493	0.01497	0.19114	0.02812	0	0.00038	0	0	0	0	0.03444	0.00751	0.45455	0.35575	0	0	0.0396	0.00204	0	0.00039	0.00226	0.00638	0.00709	0.00873	0.01907	0.03392
k__Bacteria|p__Firmicutes|c__CFGB2863|o__OFGB2863|f__FGB2863|g__GGB45495	0	0	0	0	0	0.00994	0	0.02587	0.00252	0	0.00322	0	0	0	0	0	0	0	0.01798	0.00213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0.00292	0	0	0.00227	0	0.011	0.00344	0.00057	0	0	0	0	0	0.0177	0.05854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0	0.03461	0	0.0183	0	0	0	0	0.00023	0	0	0	0.00819	0.00062	0	0	0	0	0	0.03367	0	0.03626	0	0	0	0	0	0	0	0.01449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00252	0	0.01842	0.05237	0	0	0	0	0.02974	0.00998
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9611	0	0	0	0	0	0	0	0	0.00308	0	0.00012	0	0	0	0	0	0	0	0.00549	0.00199	0.00112	0	0	0	0	0	0	0	0.01507	0	0	0	0	0	0	0.01024	0.00702	0	0	0	0	0	0	0.00412	0.02072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0033	0	0.00191	0	0	0	0	0	0.03305	0	0.00484	0	0.00033	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00359	0	0.00208	0	0	0	0	0	0	0	0	0.00598	0	0	0.00177	0.00023	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neobittarella	0	0	0	0.0018	0.00403	0	0.00869	0	0	0.0298	0	0.0335	0.01584	0.00986	0	0	0	0	0.00204	0.00171	0	0	0	0	0	0	0.01634	0.00858	0	0	0	0	0	0.00687	0.00557	0	0	0	0	0	0	0	0	0	0	0.01257	0.00061	0	0	0	0	0	0	0.03489	0.02532	0	0	0	0	0.0471	0	0.02459	0	0	0	0	0	0	0.00069	0	0	0	0	0	0	0	0	0	0.00054	0	0	0	0	0	0	0.00041	0	0.00018	0	0	0	0	0	0	0	0.00037	0.00015	0	0	0	0	0	0	0	0	0	0	0.00165	0	0	0.0258	0.01132	0	0	0	0.0081	0	0.0044	0.00581	0.00478	0	0	0	0	0.01071	0.01202	0	0	0.00127	0.00175	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB27106	0	0	0	0	0	0.00318	0	0	0	0	0	0.08601	0	0.43966	0	0	0	0	0	0.0017	0.00165	0	0	0	0.28139	0.44821	0	0.50631	0.05669	0	0	0	0	0	0	0	0.00283	0	0.70997	0	0	0	0	1.19291	0.72994	0	0	0	0	0	0	0.00729	0	0	0	0	0.5673	0.03223	0	0	0	0	0	0	0	0.19481	0.01279	0	0	0	0	0	0	0	0	0	0	0.00044	0	0	0	0	0	0	0	0	0.00151	0	0.00495	0	0	0	0	0	0	0	8.00E-05	0	0	0	0	0	0.00233	0	0.52363	0	0	0	0	0	0	0	0.18034	2.07627	0.26741	0	0	0	0	0	0	0	0	0.03172	0	0	0	0	0	0	0	0	0	0	0.99559	0.00721	0.27886	0	0	0.02639
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227|f__FGB1227|g__GGB3000	0.0064	0	0	0	0	0.00649	0	0.01627	0.00065	0	0.0013	0	0	0	0	0	0.02064	0.00642	0.03432	0.00163	0	0	0	0	0	0	0	0	0.01955	0.00138	0	0	0	0	0	0	0	0	0	0	0	0.11557	0.05834	0.07265	0.15569	0.00291	0.00027	0.05701	0.04057	0.1961	0.12493	0.00017	0.14927	0	0	0	0	0	0	0	0	0	0.02544	0.01957	0.01493	0	0	0.01855	0.01191	0	0	0	0.08085	0	0.01818	0.00453	0	0.00518	0	0.01477	0	0.01131	0	0.00214	0	0.00657	0.01106	0.06393	0.01338	0	0	0.00105	0	0	0	0	0	0	0.00619	0	0.33973	0.00372	0	0	0	0	0	0	0.00486	0.00128	0.00421	0	0.03051	0.0809	0	0	0	0	0	0	0.05758	0	0	0	0.04571	0.00104	0	0	0	0	0.00425	0.0117	0	0	0.04929	0.05217	0	0	0.04497	0.01442
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062|f__FGB73062|g__GGB9059	0	0	0	0	0	0	0	0	0.01692	0	0.00073	0	0	0	0	0	0	0	0.20984	0.00127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13607	0.39792	0	0	0	0	0	0	3.66654	6.17844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02442	0	0.05785	0	0	0	0	0	0	0	0	0	0	0.00306	0	0	0	0	0	0	0	0	0	0.01109	0	0	0	0	0	0	0	0	0	0.29454	0.02336	0	0	0	0.01338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.27918	0.0048	0.01009	0.13918
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_unclassified|g__Gemella	0	0.02176	0	0	0.00013	0	0	0	0	0	0	0.00401	0	0	0.00032	0	0	0	0	0.00119	0	0	0	0	0	0	0	0	0	5.00E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118	0.00244	0.00025	0	0	0	0	0	0.00535	0	0	0	0	0	0	0	0	0	0	0.00039	0	0	0.00086	0	0	0	0	0	0	0.00023	0	0	0	0	0.0006	0	0	0	0	0	0	0	0	0	0	0.00447	0	0	0	0	0	0	0	0	0	0	0.01538	0	0.00412	0	0	0	0	0	0	0.00068	0	0	0	0	0	0	0	0	0	0	0	0.00444	0	0	0.00045	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Extibacter	0	0	0	0	0	0	0	0	0	0	0	0	0.02811	0.04144	0	0	0	0	0.00245	0.00106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10021|o__OFGB10021|f__FGB10021|g__GGB71580	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00511	0.00081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03809	0.02461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00034	0	0	0.01823
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3678	0	0	0	0	0	0	0	0	0	0	0.00468	0	0	0	0	0	0.00619	0.02769	0.00291	0.00078	0	0	0.01471	0.00243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0326	0.00025	0.21508	0.06919	0	0	0.00398	0	0	0	0	0	0	0	0	0	0	0.00069	0	0.00153	0	0.02754	0	0	0	0	0	0	0.01147	0.03231	0	0	0	0	0	0	0	0	0	0	0	0	0.00348	0	0.00162	0	0.00268	0.00017	0	0.02147	0	0.00495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16136	0	0	0.00458	0.00468	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00129	0	0	0	0	0	0.00139	0	0	0	0	0	0	0.01596	0
k__Bacteria|p__Firmicutes|c__CFGB2881|o__OFGB2881|f__FGB2881|g__GGB9189	0	0	0.03858	0.04162	0	0	0	0	0	0	0	0	0	0	0	0	0.00812	0.01158	0.00474	0.00064	0	0	0	0	0.04985	0.0906	0	0	0	0.01178	0.0072	0	0	0	0	0	0	0	0	0	0	0.09767	0.04733	0	0	0	0	0	0	0.08943	0.06384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146	0.00698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03721	0	0	0.02601	0	0.02543	0	0.05278	0	0.00535	0.01705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04263	0.00483	0	0	0.05764	0.0676	0	0	0	0	0	0
k__Bacteria|p__Candidatus_Saccharibacteria|c__Candidatus_Nanosyncoccalia|o__Candidatus_Nanogingivales|f__Candidatus_Nanogingivalaceae|g__GGB12785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00146	0	0	0.00034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3532	0	0	0	0	0	0	0	0	0.04214	0	0.06467	0	0	0	0	0	0	0	0.00021	0.00059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.22813	0.07757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022	0	0	0	0	0	0	0	0.01749	0.01726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00921	0.04418	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Neochristensenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.66618	0.00055	0	0	0	0	0	0	0	0	0.17682	0.04338	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0005	0	0	0	0.00437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00224	0	0	0	0	0	0	0	0	0.00076	0	0	0	0	0	0	0	0	0	0	0	0.03241	0	0.16176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05377	0.01007	0	0	0	0	0.04478	0.01634	0	0	0	0	0.29698	0.21169	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB3510	0	0	0.0545	0.03181	0	0	0	0	0.06467	0	0.0221	0.00879	0	0	0.00159	0	0.02579	0.01055	0.0053	0.0005	0.01351	0.00203	0.00357	0	0.00196	0.02244	0.01562	0.09958	0.02344	0.01898	0.00151	0.0551	0.03273	0	0	0.09466	0.09689	0	0	0	0.00325	0.00185	0.01322	0.05409	0.01594	0	0	0.05547	0.21927	0	0	0	0	0	0	0	0	0.00908	0.00622	0	0.10337	0	0.39889	0	0	0	0	0.09619	0.00679	0.00521	0.04596	0	0	0	0	0	0	0	0	0.02952	0.04565	0.01716	0.03355	0.02364	0.00017	0	0.03472	0	0.00923	0.04324	0.13021	0.00251	0.01329	0	0	0	0	0.00322	0.00575	0.00267	0.20375	0.0645	0.02051	0	0	0	0	0	0.00279	0.01444	0.00818	0.00018	0	0	0	0.00363	0	0.01032	0	0	0.00428	0.00198	0	0	0	0	0	0	0	0.0001	0.00103	0.00264	0.0014	0.00155	0.02106	0.02396	0	0	0.02534	0.01782
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Geddesella	0	0	0	0	0	0.00598	0	0.00253	0.0018	0	0.0062	0	0	0	0	0	0	0	0.01176	0.00048	0.00376	0.00389	0	0	0.01934	0.01274	0	0	0.00702	0.00798	0.00157	0	0	0	0	0.00295	0.01696	0	0	0	0	0.02208	0.0152	0.007	0.00202	0	0	0	0	0.00507	0.00725	0.0079	0.03381	0	0	0	0.00235	0.00092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00185	0	0	0	0.01762	0	0	0.00031	0	0	0	0.02452	0	0.02214	0	0	0	0	0	0.00265	0	0.01102	0.00012	0	0	0.03351	0	0.01966	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01734	0.00777	0.00026	0	0	0	0	0	0	0	0.0031	0	0	0.00033	0.00452	0.00354	0.01073	0.00841	0	0
k__Bacteria|p__Firmicutes|c__CFGB3070|o__OFGB3070|f__FGB3070|g__GGB9775	0.00111	0	0	0	0	0.03693	0	0.08041	0.08969	0	0.02125	0	0	0	0	0	0.00296	0.02392	0.00684	0.00043	0.0038	0	0	0	0	0	0	0	0.00207	0.00326	0.0002	0	0	0	0	0.07056	0.02632	0.00285	0	0	0	0.03447	0.00362	0.077	0.16172	0	0	0	0	0	0	0	0	0	0	0	0.01654	0	0	0	0	0	0.00034	0	0	0.00373	0.00519	0.01245	0.01617	0	0	0	0	0	0	0	0	0.01132	0	0.01036	0.00557	0.00678	0.00032	0.00369	0	0	0.05142	0	0.04863	0	0.10082	0	0.00471	0	0	0	0	0	0	0	0.0296	0	0	0	0	0	0	0	0	0	0	0	0.00158	0.02345	0	0	0	0	0	0	0	0	0.0145	0.00841	0	0	0	0	0	0	0.0095	0.08699	0	0	0.00672	0.02622	0.01568	0.01644	0.0775	0.05445
k__Bacteria|p__Firmicutes|c__CFGB76784|o__OFGB76784|f__FGB76784|g__GGB80012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10506	0.0003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03156	0.00333	0	0	0	0	0	0	0.00305	0.00658	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0	0	0.0125	0.01324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29133	0.40501	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Pseudoflavonifractor	0	0.00411	0.00088	0.00104	0	0.0121	0	0.02448	0.01346	0	0.00373	0	0.1086	0.00081	0	9.00E-05	0.00449	0.0029	0.0108	0.00027	0	0	0.0051	0	0.02122	0.00292	0.00572	0.00611	0.00108	0	0	0.00221	0.0035	0.37736	0.47083	0.00039	0.00173	0	0.00188	0.00466	0	0.21143	0.01628	0.02546	0.2536	0.00203	0.0007	0.02868	0.01381	0.05853	0.05205	0.02042	0.06242	0.00371	0.00485	0	0	0.24321	0.07598	0.00115	0.01374	0.00165	0.36232	0.00145	0.00085	0	0	0.00289	0.01385	0.21876	0.075	0.14901	0.08511	0.00624	0.00858	0.00558	0	8.00E-05	7.00E-05	0.00221	0.00034	0.00856	0	0.02642	0	0	0.00639	0.00014	0.00523	0.00581	0.24432	0.07329	0.85265	9.00E-05	0.00087	0.00159	0	0.00556	0.01531	0	0.00381	0.003	0	0	0	0	0	0	0.00902	0.00028	0.01544	0.00194	0	0.00091	0.03713	0	0.00331	0.00129	0.00457	0.00135	0.02475	0.01756	0	0	0.00087	0.00277	0	0	0.00596	0.00254	0.00195	0.04387	0.00725	0.00592	0	0.0008	0.00523	0.00227	0.07285	0.00607
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126|g__GGB2848	0.00183	0	0	0	0	0	0	0.00054	0.0099	0	0.00405	0	0	0	0	0	0.00396	0.0009	0.00459	0.0002	0	0	0	0	0.01197	0.01092	0.00246	0.00154	0.00155	0	0.00614	0.0043	0.00882	0.00148	0	0	0	0	0	0	0	0.05109	0.07623	0.02154	0.02262	0.07425	0.01013	0	0	0	0	0.01456	0.01392	0	0	0	0	0.04114	0	0	0	0	0	0.00015	0	0	0	0.00513	0	0	0	0.03011	0	0.00538	0.01632	0	0	0.00666	0	0	0.00145	0	0	0.00177	0.001	0	0.00101	0	0.00026	0	0.00304	0.00576	0.002	0.00741	0	0	0	0	0	0	0.01227	0	0	0	0	0	0.00912	0.01301	0	0	0	0	0.00123	0	0	0	0	0.00577	0	0	0	0.01314	0	0	0.00439	0	0	0	0	0	0.02442	0.00368	0	0	0.00348	0.0016	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriaceae|g__Anaerofustis	0.00018	0	0	0	7.00E-05	0.00072	0.00221	0.00151	0	0.00345	0.00055	0.00302	0	0	0	0.00086	0	0	0	0.00017	0	0	0	0	0	6.00E-05	0.00053	0.00039	0.00042	0	0	2.00E-05	0	0.01308	0.00577	0.00506	0.00776	2.00E-05	0	0.00025	0	0	0	0.00921	0.00648	0.00194	0	0.00442	0.0058	0	0	0	0.00072	0.00135	0.00407	0.00073	0	0.00165	2.00E-05	0.00152	0.00082	0	0.00651	0	0	0	0.00021	0	0	0.00314	0.00108	0	0	0	0	0.00173	0	0.00338	0	0	0	0	0	0	0	0	2.00E-05	0	0	0	0.00725	0.00064	0.00175	0.00211	0.00177	0	0	0.00067	0.00089	0	0.00282	0.00124	0	0.00718	0	0.00925	0	0	0	0	0.00568	0.00937	0	0	0.02912	0.00273	0.00673	0.00299	0.00228	0.00013	0	0	0	0.00011	0.00049	0	0.00816	0.00668	0	0.00036	0	0	0	0	0.00035	0.0003	0	0	0.00022	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__Candidatus_Metaruminococcus	0.00027	0	0	0	0	0.00197	0.00131	0.00026	0.03813	0	0.00659	0	0	0	0	0.00116	0.01041	0.00333	0.00401	0.00016	0	0	0.01657	0.02629	0.00042	0.0019	0.00279	0.00047	0.0009	0	0	2.00E-05	0	0	0	0.00104	0.00213	0.00261	0	0.00014	0	0.00473	0.00052	0.01959	0.09851	0	0	0.00217	0.00398	2.00E-05	0	0	0.00334	0.00084	0	0.00705	0.03452	0.00017	0	0	0	0	0	0.00239	0.00072	0.00078	0.00016	0.00842	9.00E-05	0.00017	0.00184	0	0.00227	0	0	4.00E-05	0	0.00575	0	0.00088	0.00126	0	0.00015	0.00091	0	0.00078	0.00111	0.00972	4.00E-05	0	0.00541	0.00021	0.04222	0.00159	0.00394	0.00085	0	0	0.00314	0.00092	0.00841	0.00137	0	0	0	0	0	0.02021	0	0	0.00023	0	0	0	0.00999	0	0	0	0.00062	0	0.00075	0.00028	0	0	0	0	0.00197	0.00477	0.00115	0.00125	0.00118	0	0	0	0.00076	0.01924	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9452	0	0	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0.00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01904	0.20448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Sellimonas	0	0.00161	0.00449	0.00531	0.00179	0.00566	0.02239	0.00425	0	0.49212	0	0.21509	0	0	0	0	0	0	0	7.00E-05	0	0	0	0	0	0	0.00036	0	0	0	0	0	0.00036	0.05412	0.10729	0	0	0	0	0.00256	0.00805	0	0	0.19607	0.0664	0	0	0	0	0	0	0	0	0.00272	0.00964	0	0	0	0	1.68806	0	0.64838	0.00094	0	0	0.01687	0	0	0	0	0	0.00532	0	0	0	0	0	0	0	0.05858	0	0.11297	0	0	0	0.00299	0	0.11956	0	0	0.02991	0	0.03659	0	0	0	0	0.00823	0	0	0.02957	0	0	0	0	0.0002	0	0.00365	0	0	0	0	0.00181	0.01672	0	0.03134	0.78057	0.05095	0	0	0	0	0	0	0.19549	0.1173	0	0	0	0	0	0	0	0	0	0	0	0	0.02226	0.00395
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Ruminococcus|s__Ruminococcus_sp_BSD2780120874_150323_B10	0	0	0	0	0	7.29455	0	6.80421	0	0	0	0	0	0	0	0	0	0	3.36986	4.68203	1.46119	1.56096	0	0	0.74858	7.7386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.67803	1.76696	0	0	0	0	0	0	0	0	0.5811	0	0	5.95904	0	4.37129	0	0	0	0	0	0	0	0	0	0	2.87773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.78208	9.45817	0	0	0	0	0	0	0	0	0	0	0	0	2.5468	0.0054
