clade_name	AE1332	AE2332	AH1343	AH2343	AK1351	AK1371	AK2351	AK2371	AM1310	AM1314	AM2310	AM2314	AN1355	AN2355	AP1348	AP2348	AS1315	AS2315	AT1302	AT2302	EH1307	EH2307	EK1349	EK2349	EP1341	EP2341	ET1331	ET2331	HK1340	HL1333	HL2333	HN1327	HN2327	HP1337	HP2337	HT1321	HT2321	IM1354	IM2354	JA1369	JA2369	JE1361	JE2361	JH1373	JH2373	JK1312	JK2312	JL1316	JL2316	JM1360	JM2360	JP1303	JP2303	JS1364	JS2364	JV1357	JV2357	KH1326	KH2326	KK1350	KK1376	KK2350	KK2376	KL1367	KL2367	KM1329	KM2329	LK1306	LK2306	LT1311	LT2311	MK1305	MK1353	MK2305	MK2353	ML1319	ML1375	ML2319	ML2375	MM1317	MM1328	MM2317	MM2328	MO1363	MO2363	MR1322	MR1334	MR2322	MR2334	MS1330	MS1370	MS2330	MS2370	MV1301	MV2301	NK1335	NK2335	PH1308	PH1339	PH1359	PH2308	PH2339	PH2359	PK1313	PK1324	PK2313	PK2324	PP1368	PT1325	PT2325	RA1309	RA2309	RK1372	RK2372	RS1345	RS1366	RS2345	RS2366	SH1365	SH2365	SK1377	SK2377	SN1320	SN2320	SO1346	SO2346	SS1323	SS2323	SV1318	SV2318	TJ1356	TJ2356	TK1342	TK2342	TL1338	TL2338	TS1358	TS2358	VK1336	VK2336
k__Bacteria|p__Firmicutes|c__Clostridia	45.09881	59.00195	73.15731	72.65047	59.82474	57.67121	62.75416	51.91648	59.39757	73.66638	58.37709	74.37252	36.84766	53.05746	62.73538	62.73937	62.65777	56.74294	56.17393	68.79321	32.98624	29.93685	67.94215	75.81747	40.00691	61.69074	67.52889	54.45247	49.75078	54.34456	55.1261	55.22123	48.53253	46.73083	42.51319	50.58714	55.79968	51.78712	33.30155	69.15417	72.02223	42.48027	46.61726	57.79657	40.78979	51.35988	35.09299	49.76845	69.43509	31.46386	27.57852	57.32236	58.12154	69.65272	54.84468	51.83936	49.51478	58.15365	53.54033	58.27358	62.16695	47.12611	51.95592	73.84195	75.07422	55.76557	55.09248	57.438	53.79734	63.76182	60.2534	55.1334	37.18137	51.62814	47.67656	49.92964	63.70539	47.85409	55.75793	43.87991	70.24086	49.3798	68.25235	46.32072	58.55386	76.45359	57.16311	60.99043	64.9517	45.50325	62.29596	45.9616	42.77789	71.38223	61.37185	73.11407	72.48219	65.59469	59.67868	40.37073	53.48013	64.04566	42.50709	55.34495	46.76992	62.95121	43.49838	56.80975	32.43639	35.0217	69.26437	67.19552	69.96188	67.6535	79.22968	62.72389	79.89754	75.95496	63.15534	68.80392	56.38413	50.70272	67.93641	66.57718	67.71231	75.6557	69.85345	61.15016	49.74219	58.99964	69.18709	38.42849	47.91213	44.92188	67.04681	57.53447	35.02262	48.52459	53.90857	39.31826
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	21.76616	12.78356	12.0336	6.40476	24.05232	10.1545	25.8547	12.49418	23.55694	12.43484	12.05849	12.05864	48.77733	29.57274	6.75064	16.47443	10.84639	24.31997	15.60578	9.39615	39.70016	44.67226	20.92616	5.99389	23.67741	13.02259	9.11151	24.11119	17.58459	14.27912	14.33567	14.89906	14.29477	42.10734	41.97967	21.71135	11.19126	32.23875	44.49044	9.07918	7.72146	11.92332	9.44297	20.28987	39.71072	36.54854	56.09093	28.73176	12.26862	7.93682	9.79501	9.92222	8.33657	8.98069	16.62637	16.66065	15.99476	11.49887	12.04177	18.41676	6.69522	21.83222	11.23306	8.01547	7.54954	5.81702	4.4988	26.14005	27.55499	23.59453	17.72661	28.16661	33.27982	28.71812	14.79108	15.45555	8.08574	19.45397	14.98932	18.2568	11.05142	23.70928	10.73669	16.33286	16.94354	12.07692	9.39574	14.94493	6.17376	20.98574	3.83586	25.59856	20.46292	14.75188	25.32172	12.78501	10.39502	20.71021	13.51758	7.78863	7.8788	11.99135	11.34182	25.89167	1.12206	20.76437	21.2152	28.04836	32.81782	33.94278	16.60374	21.47769	7.45325	8.02086	4.0792	22.15156	1.41734	9.28368	20.40794	13.37488	12.96488	12.56773	12.18028	13.74224	6.02418	10.88979	12.9615	22.06555	26.07284	12.49292	5.41171	39.40997	7.534	8.2581	3.84035	8.49342	16.23957	9.20438	13.26489	22.07999
k__Bacteria|p__Firmicutes|c__Bacilli	0.22275	4.93892	0.16622	0.18332	1.1236	2.00516	0.0954	2.88021	3.46413	1.53112	4.00794	4.34243	0.38475	1.20927	3.40187	0.09622	3.10698	0.91198	3.01991	3.29424	1.39564	0.29415	0.12125	3.8271	8.58304	3.89296	1.09353	1.19382	1.80804	7.52247	6.69077	0.61551	0.82457	0.00692	3.2046	2.59925	6.50937	0.94388	1.0949	0.31331	0.03208	1.4609	2.66562	1.18538	2.31194	0.07894	0.09069	2.93864	2.97652	2.22885	3.02946	0.65365	8.14408	0.10642	4.18887	4.02885	0.90745	0.59037	2.83389	0.18647	0.20215	0.95686	0.21844	2.33009	3.07908	2.91898	8.06319	1.63783	1.57584	0.07217	0.7681	0.21253	3.95941	0.06734	9.60426	1.26709	6.56154	1.60853	4.03868	4.45885	1.03571	4.63668	0.79777	3.82697	2.30018	1.73605	6.44447	11.0067	3.07978	5.20539	2.55172	0.82491	2.45391	0.88501	1.88947	0.22364	0.65722	0.78892	4.6794	5.60676	6.69772	7.04951	5.63779	1.95042	2.93703	0.93959	5.32543	0.76498	7.97785	5.73866	1.59232	0.49761	1.99419	4.09205	0.16293	3.95488	0.85038	2.14419	0.57981	1.85048	4.58928	3.39332	1.3442	1.07812	0.78134	0.8117	0.12108	0.59338	3.02569	5.15821	0.95269	1.1076	9.82143	8.4079	6.92617	9.68154	1.96119	4.36123	2.19323	3.57128
k__Bacteria|p__Firmicutes|c__Negativicutes	1.90727	2.79239	3.37963	7.1687	1.73496	0.42898	1.19367	0.44337	0.65977	0.80525	0.47897	0.75337	0.29435	3.78396	1.17624	2.122	1.70377	2.8111	0.13661	0.69114	3.65881	2.35693	3.46512	4.03544	3.15861	0.66027	0.90316	1.46609	2.79944	2.0866	2.02065	2.02272	2.1194	3.70653	4.4658	1.13293	0.6631	4.72005	5.94172	3.7563	3.45302	0.01327	0.04467	1.44509	1.11716	2.62202	1.1555	4.52202	2.00586	0.42447	0.45335	14.37352	2.91021	1.72902	3.63431	3.37727	3.66317	2.14217	2.37673	5.81753	3.78375	13.22381	3.30661	0	0	5.58755	6.64095	1.91409	1.18872	1.53802	3.5547	0.5565	6.77292	0.94996	4.59574	2.1554	4.93329	3.58894	4.08924	1.71979	2.81278	2.83112	3.19142	1.38868	3.60394	1.07806	0.90074	1.23994	0.4695	1.04997	3.67103	0.5501	1.81794	0.88205	1.67007	0.52077	0.79968	0.55185	0.81185	0.27363	0.05943	0.77863	0.81665	1.40338	0.15753	1.70667	0.17091	2.68722	2.10784	2.31197	2.21696	2.80103	0.9077	1.07947	3.29584	1.14126	0.89244	2.82152	0.81001	1.16946	2.55401	2.57751	1.37887	1.53926	1.05062	1.11143	1.1291	1.51615	0.30907	0.33951	1.45942	2.46347	1.22527	1.11478	0.5072	0.71033	2.18256	1.9844	0.4949	0.72079
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	6.3122	5.76324	3.5206	4.66913	3.09869	4.34638	2.36276	5.70977	3.08876	6.68344	3.12662	4.63435	2.67282	1.4463	3.93098	5.24109	6.23779	2.59103	1.45547	1.02475	0.56938	0.40302	3.05197	1.56618	1.27408	4.80453	7.64748	6.09183	3.33807	3.42446	5.39296	7.43905	5.44798	1.52439	2.68509	6.44404	5.49738	3.57911	2.72608	4.14116	5.24186	9.61303	9.89463	2.50631	1.32177	1.77632	1.55476	5.68786	6.06039	11.70661	11.63381	0.81221	1.93245	2.76811	2.17085	4.49952	1.93949	3.52359	3.26341	4.14978	5.06411	3.00367	4.13986	2.2493	5.44622	7.01183	6.28305	1.01261	1.59791	1.60677	1.80513	4.44684	3.36548	5.18467	7.20421	4.03763	4.84262	5.35591	6.09976	3.41071	3.9562	4.17854	4.2348	3.76556	3.29613	3.92024	2.65896	3.75072	5.19521	0.92306	7.61376	0.91755	5.41238	2.6498	3.23607	2.68905	4.3343	2.01837	3.27492	5.12786	7.58455	4.76102	3.80828	5.16535	15.56505	3.1372	5.79119	3.04977	1.80049	1.93169	2.425	2.70203	1.95408	2.96077	1.88629	1.27306	0.66022	2.12708	3.29742	6.13274	4.05756	1.51875	1.50434	1.79674	5.73694	2.6817	3.6659	2.74221	3.29302	3.71631	4.39157	1.10194	4.43433	4.04798	4.404	9.48284	3.05897	3.61135	4.40051	3.25963
k__Bacteria|p__Actinobacteria|c__Actinomycetia	19.43691	8.8888	0.00015	0.03204	1.23185	1.11252	0.95719	0.82266	1.86731	0.03074	11.74844	0.04915	0.33644	0.35028	16.31878	3.81321	4.56548	7.01434	3.40028	1.9789	0.14825	0.08923	0.01656	2.84747	5.78446	2.77018	8.01845	3.72062	2.23116	4.71669	4.52202	15.75375	23.41378	3.49463	1.24826	0.92032	2.24542	1.49276	7.17364	2.3488	7.11355	17.82713	13.98053	9.46485	2.18667	2.57345	2.8296	1.51841	2.50912	7.52018	7.34982	1.90213	1.91525	11.83372	10.90511	0.59795	0.46223	15.37293	20.24673	4.80469	15.87454	2.89752	21.71763	6.55961	1.26961	12.55466	7.93261	0.0078	0.04669	3.22405	3.33484	5.90622	4.67555	2.37747	0.12163	0.82045	3.17547	1.41044	3.18487	16.67084	3.09149	2.42875	4.10023	13.31518	6.80481	0.5673	7.55567	2.53071	6.05805	1.91958	7.46352	2.07441	10.19723	3.11066	0.92581	3.33932	4.29353	3.19869	3.43485	10.60797	0.38132	0.7262	3.17564	4.06133	7.78035	3.14559	0.238	3.02068	2.05182	3.80023	4.05403	0.99302	0.055	0.37554	2.49443	3.58926	13.99657	1.3481	9.128	3.32098	4.86664	10.26325	0.59029	1.26577	12.72964	4.64192	4.33063	3.06116	3.85227	11.06386	9.57578	5.41185	1.59685	0.76446	4.26761	1.04152	0.54158	0.46812	0.62394	0.22088
k__Bacteria|p__Firmicutes|c__CFGB76185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38439	1.40142	0	0	0	0	6.35938	0.91387	0	0	6.34675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63135	0.49284	0	0	0	0	0	0	0	0	0	0	0	0	0.13727	0	1.76181	0	12.68058	2.11082	4.25781	4.51536	0	0	0	0	0	0	0.03347	3.35891	0.03254	1.99932	16.42274	0	15.51629	0	0	0	0.39033	0.28883	0	0	6.39746	0	0	10.74139	0	0.00569	0	0.37264	0	0	0	0	0	0.59984	0.2306	0	0	0	0	0	0	0.68978	1.97677	1.93831	1.73997	0	0	0	0	0	0	0.11715	3.14597	0	0	0	0	22.03435	15.47596	3.13506	12.32481
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	1.65424	2.03501	0.54578	1.34454	5.55887	1.67551	2.74202	1.84894	0.46433	1.71583	0.72376	1.24437	2.07559	2.48254	1.51029	4.21033	1.06846	0.69407	2.1773	1.46725	1.23104	1.01263	0.7056	3.28059	0.23022	0.46178	1.10513	0.71776	1.52292	0.53728	0.41044	2.0594	0.91662	0.55425	1.62562	0.83191	0.93919	1.7977	2.19891	0.92624	2.37602	0.10363	0.12618	1.04946	0.41582	3.37672	1.32666	0.3556	1.2339	4.66533	3.61048	0.12	0.48096	2.57429	2.32002	2.63127	2.44003	1.34259	0.69588	3.389	1.29822	2.77343	0.41577	0.78904	0.84948	2.0899	2.99319	0.51371	0.9059	3.56642	11.38931	0.64559	0.61181	2.20756	1.58197	0.132	1.77406	0.56323	0.14062	0.32052	1.3841	0.33086	0.63485	0.39288	0.34345	0.96495	0.86867	1.74758	0.70412	1.28429	0.61421	0.42022	0.21826	2.62671	2.76865	1.36209	3.03098	0.56632	2.74669	0.48824	1.92197	1.65943	1.08704	2.92861	0.23517	4.15214	0.12739	0.52037	0.53717	0.68569	0.34602	0.36656	1.5118	1.82684	3.05095	0.79757	0.66644	1.69362	0.66219	1.47485	1.2436	2.70216	2.29137	2.62122	2.14556	1.22672	1.61443	1.40297	0.83696	1.48591	0.31732	0.17919	1.07435	1.25432	0.29535	0.33741	0.45782	1.06558	0.58016	0.32257
k__Bacteria|p__Firmicutes|c__CFGB14936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.79401	0.49855	1.15897	1.22589	0.6526	0.55881	0	0	0	0	0	0	0	0.71899	1.64312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.34056	0	0.00178	0	1.26671	0	0.71332	0	0	0	0	0	0	0	1.15563	0	1.73652	0	0	0	0	0	0	0	0	0	0	0.16087	5.66341	0	0.01745	0	0.65561	0	0.25923	0.82963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.79351	0.80991	2.37834	1.41985	2.1035	2.7547	0.62358	1.59841	0	0
k__Bacteria|p__Actinobacteria|c__CFGB12107	0.24652	1.08251	0.91313	1.06876	0.61504	0	0.64874	0	0	0	0	0	0	0	1.57852	0.59979	0	0	0.69303	0.55537	0.04045	0.06182	0	0	0	0	0	0	0	1.4171	0.76867	0	0	0	0	0	0	0	0	1.27748	0.53064	0.19954	0.47471	0	0	0	0	0	0	1.10113	3.41197	0.24111	0.42138	0	0	0.79705	0.38648	0	0	0	0	0	0	0.8524	2.96078	2.65957	2.27761	0.18708	0.83659	0	0	0	0.54883	0	1.7739	0.03272	0.67995	0.43541	0.26515	0	0	0	0	0.87074	0.48949	0	0.87559	0	2.12883	0.47482	1.14599	1.29912	0.59146	0.56263	0.45911	0	0	0.66034	0	0.83113	2.87279	0	0.25229	0	0.33303	0	5.82878	0.5411	0.66651	0.56183	0	0	1.02311	0.68659	0	0	0	0	0.83338	3.12792	0.78421	0.14046	1.00328	1.66469	0.05215	0.41034	2.42525	1.14154	0	0	0	0	0.70219	1.45636	1.55465	2.04812	0	0	0	0
