clade_name	ML1375	AT2302	JE2361	MV1301	JS1364	JA1369	JL1316	JH2373	EH1307	AM2314	AK2371	HP2337	AN2355	KK1350	ML2319	JV1357	HT2321	MS1370	JP1303	ET1331	KK2350	KL1367	JA2369	JH1373	MK2305	AK1304	AK1371	JV2357	LT2311	EH2307	AK2351	AP1348	LK1306	JS2364	AK1351	AT1302	JP2303	TS2358	JK1312	JE1361	AE2332	NK1335	PK2324	KK1376	MO2363	PK2313	MM1317	TS1358	MV2301	SH2365	VK1336	SK2377	TL2338	JL2316	AN1355	MS1330	AH1343	KL2367	PK1313	PP2368	SK1377	TJ2356	RK2372	HT1321	MK1353	HK2340	AE1332	AM2310	AP2348	EK1349	AS2315	EP1341	EP2341	HN1327	IM2354	KK2376	LK2306	AM1310	SS1323	HP1337	IM1354	KH1326	KM2329	ET2331	KH2326	LT1311	ML1319	HL1333	RS1345	KM1329	AS1315	AH2343	HK1340	AM1314	EK2349	HL2333	JM2360	JM1360	JK2312	MM2328	RS2366	TL1338	TK1342	PH1308	VK2336	TK2342	MM1328	SV1318	PK1324	MK1305	PH2359	SN2320	TJ1356	MR1334	MR2322	SO2346	SO1346	PH2339	MR1322	PH2308	RS2345	PP1368	SV2318	MO1363	SS2323	PH1339	MM2317	SN1320	RA2309	RA1309	MS2370	NK2335	MS2330	RK1372	ML2375	PH1359	SH1365	HN2327	MK2353	RS1366	PT1325	PT2325	MR2334
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635	0	0.21846	0.85436	0.26885	0	0.06311	4.69823	0	0.63058	0.06802	1.30005	0	0	0	0.16045	0.65601	0	0	7.25655	0	0	0.43646	0.00155	0	0	0	1.98988	0.41868	0	0.53429	0	0	0.73656	0	0	1.03086	6.14309	0	0	0.41479	0	0	0.3874	0	0.01343	0	1.38564	0	0.01999	0	0.44339	2.72218	0	0.75221	0	0	0	0.0776	0	0	2.55689	0	0.00635	0	1.35702	0	0	0	0	0	0	1.18073	1.76304	0	0.08664	0	0.18168	0	0	0	0.09781	0	0	0	0	0	0.07664	0.02668	0	0	0	0	0	0.20147	0.0032	0.00946	1.19603	0.69766	0	0	0	0	0	0.10348	0.35706	0	0	0.5933	0.29326	0	0.11304	0.09931	0	0.48009	0	0	0	0.07651	0	1.10862	0	0	0.50753	0.05547	0	0.13644	0.66008	0.43101	0	0	0	0	0	0	0	0.04872	0	0	1.09247	0	1.49418	1.43993	0.43595
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	0	0.20012	0.0202	0	0	0	0	0	0	0	0	0	0	0	0.17877	0	0.23397	0	0	0	0	0	0	0	0	0.23883	0	0	0	0	0	0	0	0	0	0	0	0.22001	0	0.01108	0	0	0.20335	0	0.37289	0	0.33251	0.12916	0	0	7.00E-05	0.13224	0.07254	0	0	0	0	0	0	0	0.1182	0	0	0.40075	0	0.43382	0	0.0105	0	0	0	0	0	0	0.6574	0	0.01009	0	0	0	0.17048	0	0	0	0	0	0.40714	0	0	0	0	0	0.17341	0	0	0	0.504	0	0	0	0.01774	0.00888	0.6147	0.05821	0	0.19576	0	0.64525	0	0	0.41284	0	0	0.00806	0	0	0	0	0	0	0	0	0.11082	0.15534	0	0	0.14813	0.01734	0	0.00359	0	0	0	0	0	0.03722	0	0	0	0.45034	0.13011	0	0.0242
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Neglectibacter	0	0.16079	0	0	0	0	0	1.67233	0	0	0	0	0	0	0.06692	0	0.04318	0	0	0	0	0.00286	0	1.15496	0	0	0	0	0	0	0	0	0	0	0	0.01695	0	0.29305	0	0	0	0	0	0	0	0	0	0.31128	0	0	0	0	0.05926	0	0	0	0	0.0031	0	0	0	0	0.00212	0.42903	0	0	0	0.00263	0	0.0029	0	0	0	0	0	0	0	0.01293	0	0	0	0	0	0	0	0	0.01108	0	0	0	0	0	0	0	0.04092	0	0	0	0	0	0	0.03392	0.11519	0	0	0.08324	0	0.03621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01585	0	0	0	0	0	0	0	0	0	0.0074	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140|f__FGB8140|g__GGB3754	0	0.15138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477|g__GGB9345	0	0.11078	1.44578	0	0	0	1.32024	0	0	0	1.84669	0	0	0	1.60723	0	0.21043	0	0	0	0	0.02473	0	0	0	0	1.95967	0	0	0.00097	0	0	0.59966	0	0	0.68401	0	0.34864	0	0.80284	0	0.00589	0.76288	0	0	0	0.58201	0.06962	0	0	1.03566	0.05963	0.12662	0.00832	0	0.05218	0	7.00E-05	0	0	0.18201	0.05592	0.25286	0.09936	0.87827	1.8641	0	0.34145	0	0	0	0	0	0	0	0	0.59964	0.4399	0	0	0	0	0.00027	0	0	0	0.53081	0	0	0.00013	0	0	0.71231	0	0	0	1.30576	1.11055	0	0	0	0.36108	1.14634	0	1.59414	1.37835	0	0.70911	1.80087	0	0.17261	0.00597	0.04418	0.58609	0	0	0	0.35391	0	0	0	0	0.45806	0.37955	0	0.16823	0.08837	0.17209	0	0	0	0	0.10254	0.04965	0	0.15975	0	0	0.09502	0	2.85131	1.47117	0.23006
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB9677	0	0.10977	0	0	0	0	0.22251	0	0.00062	0	0	0	0	0	0.04089	0.00792	0.423	0	0	0	0	0	0	0	0	0.00063	0	0.04312	0	0	0	0	0	0	0	0.95252	0	1.62681	0	0	0	0	0.78807	0	0	0	0	0.94339	0	0	0.73217	0.37034	0	0.00086	0	0	0	0	0	0	0.23293	0	0	0.14736	0.6428	0	0	0	0	0	0.25964	7.4705	2.05102	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03693	0.03568	0	0	1.59871	0	0	0	0	0.32356	0.41325	0.1616	0	0	0	0	0.01569	0	2.34783	0.12462	0	0	0.22504	0	1.57057	0.00365	0	0	0	0	0	0.00028	0	0	0	0	0	0	0	0.00333	0	0.03354	0	0	0	0	0.14319	0	0	0.14198	0	0	0.1337	0	0.59323	0.14996	0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio	0	0.09236	0.22117	0.00034	0	0	0	0	0.35098	0.13022	0	0	0	0	0.03853	0.02418	0.37852	0	0.00875	0.00011	0	0	0	0	0	0	0	0.15829	0.07331	0.29371	0	0.29573	0.00338	0	0	0.27964	0	0.08401	0	0.48928	0	0	0	0	0.02564	0	0	0.04461	0	0	0.64343	0	0	0	0	0.00192	0	0.00342	0	0	0	0	0	0.47689	0.0137	0.20662	0	0.03164	0.06242	0	0	0	0	0	0	0	0.00524	0.05523	0	0	0	0	0	0	0.06238	0.97693	0.00849	0.0008	5.1167	0	0	0	0.19416	0.4357	0	0	0.32212	0.28416	0	0	0	0	0.05002	0.00573	0.46719	0.09563	0	0.18096	0	0	0.00461	0.02122	0	0	0	0.02293	0.00172	0.0678	0	0.36749	1.49597	0	0.06241	0.00429	0	0.04832	0	0.11529	0	0	0	0	0	0	0	0.00155	0	0	0.03838	0	0	0	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae|g__GGB9782	0	0.08598	0.11616	0	0	0	0	0.09343	0.02501	0	0.07698	0	0	0	0.01476	0	0	0.51571	0	0	0	0.00337	0	0.09161	0	0	0.02598	0	0	0.00886	0	0	0	0	0	0.28171	0	0	0	0.31329	0	0	0	0	0	0	0.12762	0	0	0	0.05651	0	0.11018	0	0	0.03123	0	0	0	0	0	0.094	0.0368	0	0	0	0	0.09204	0	0	0	0	0	0	0	0	0	0.09333	0	0	0	0	0	0	0	0	7.00E-05	0.03263	0	0	0	0	0.01431	0	0	0.00954	0.2479	0.10682	0	0	0	0.11278	0.0212	0	0.04741	0.02863	0	0.01011	0	0	0	0	0.01805	0.05589	0.02664	0	0	0.10567	0	0.41962	0	0	0.02004	0.09628	0	0.1171	0.1043	0	0	0	0.77013	0	0.05029	0.02463	0	0	0	0	0	0	0.06259	0.03014	0.00549
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB9176	0	0.08529	0.03502	0	0	0	0	0.14354	0.03547	0	0.07845	0	0	0	0	0	0.08376	0.00562	0	0	0	0	0	0	0	0	0.08584	0	0	0.01888	0	0	0.20477	0	0	0.62961	0	0	0	0.03721	0	0	0	0	0	0	0.19448	0	0	0	0.03265	0	0	0	0	0	0	0	0	0	0	0	0	0.14578	0.01784	0.0038	0	0.00433	0	0	0	0.07199	0	0	0	0	0.08838	0.04195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05566	0	0	0	0.02914	0	0	0	0	0.0017	0.0734	0	1.2202	0.06276	0	0.05557	0	0	0.00493	0	0.00186	0	0	0	0	0.03485	0	0.01515	0	0	0.01418	0.03268	0	0.05441	0.22975	0.01762	0	0	0.0273	0	0	0	0	0.0228	0	0	0.0028	0	0.7486	0.14568	0
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787|g__GGB4745	0	0.08501	0.21201	0	0	0	0.04134	0.09649	0	0	0	0	0	0	0	0	0.0338	0.00337	0	0	0	0.00061	0	0.19969	0	0	0	0.0455	0	0	0	0	0	0	0	0.62658	0	0	0	0.15902	0	0	0.00942	0	0	0	0.07723	0	0	0	0.00229	0.21471	0.01199	0.00226	0	0.01902	0	0	0	0	0.00659	0	0	0.04396	0.12762	0.0821	0	0.00153	0	0	0	0.08876	0.11152	0	0	0	0	0.00756	0	0	0	0	0	0	0	0	0	0.00843	0	0	0	0	0.02125	0	0	0.01408	0	0	0	0	0	0.05142	0	0	0.40079	0	0	0	0.05067	0	0	0	0	0.2084	0	0	0	0	0	0.02991	0	0	0	0.01259	0	0	0.13391	0.02747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02473
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Enterocloster	0	0.08219	0	0.00461	0.03608	0.03659	0.00568	0.00309	0.19927	0.17319	0	0.07352	1.10591	0.157	0.02551	0	0.09841	0	0.00784	0.00229	0.11896	0	0.09269	0.01448	0.05028	0	0.00644	0	0.00965	0.08003	0.04446	0	0.01379	0.01373	0.02045	0.85442	0.00972	0.03492	0.01998	0.00098	0.0375	0.00102	0.00098	0	0.00596	0.11323	0.69612	0.00162	0.00859	0	0.49198	5.00E-05	0.8033	0	0.60997	0.00368	0.03215	0	0.10692	0.00189	0	0.00615	0.27455	0.01593	0	1.14601	0.03593	0	0	0.00908	0.0009	0.00558	0.00308	0.01479	0.00029	0	0.03313	0.00378	0.16475	0.04817	0.01815	0	0	0.04199	0	0.00973	0.01462	0	0.79414	0	0.00156	0.05105	0.90097	0.13133	0.00704	0	0.33312	0.64033	0.01167	0	0.01496	1.40341	0.01103	0.00624	0.10789	0.06656	5.00E-05	0.00752	0.00419	0.02209	0.28393	0	0.00684	0	0.00534	0.00502	0.02374	0	0.0007	0.00436	0.41185	0	0.00216	1.06802	0.15889	0.02007	0.15806	0	0.01898	0.02797	0.00401	0	0.00412	0.06038	0.00727	0.03127	0.00645	0.01087	0.00168	0.03487	0.34372	0.86714	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	0	0.07323	0.00202	0	0.01206	0	0.01145	0	0	0	0	0	0	0	0.02625	0.0007	0.10921	0	0.00113	0	0	0.00262	0	0	0	0.00711	0	0	0	0.00118	0	0	0	0.00217	0	0.06664	0	0.03002	0	0	0.07522	0	0	0	0	0	0	0.01343	0	0.03229	0	0.07332	0.00234	0.00022	0	0.00294	0	0	0	0	0.01324	0.02158	0	0.02586	0.01032	0	0	0	0	0	0	0.00112	0	0	0.00097	0	0	0	0	0	0.0206	0	0.08123	0	0	0.00289	0.03855	0.01684	0.00216	0.0223	0.01263	0	0	0	0.06068	0.05923	0.00223	0.00212	0.00029	0.00071	0	0.00442	0.31208	0	0	0.82123	0.00487	0	0	0	0.0548	0.04356	0	0	0.00448	0.07532	0	0.00783	0.00222	0	0	0	0	0	0	0.00767	0.01281	0.05898	0	0	0	0.04103	0.0025	0	0	0.02212	0.00605	0	0	0	0.00673	0.01196	0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium	0	0.06189	0	0.09994	0.14644	0.06191	0.04674	0.1684	0.04355	0.53619	0	0.00108	0.02716	0.42457	0	0	0	0	0	0	0.08461	0	0.02441	0.18282	0	0	0.00717	0	0.02314	0.02715	0.00558	0.02989	0	0.23407	0.00419	0.06029	0	0	0.01114	0	0.08621	0.0319	0.00398	0.12021	0	0.14269	0	0	0.049	0	0.139	0	0	0.31833	0.04481	0	0.09637	0	0.19519	0.03453	0	0	0.19314	0	0.0019	0	0.02429	0.00078	0.1633	0	0.01685	0	0	0	0	0.01595	0	0	0.32935	0.00743	0	0.03133	0	0	0.03843	0.04031	0	0	0.53467	0	0.12266	0.35518	0.03167	0.47674	0	0	0	0	0.00397	0.06273	0.12608	0	0.00085	0	0.02159	0.02544	0.03082	0.00089	0.00935	0	0	0	0	0	0.30092	0.05683	0.10713	0.09717	0.16151	0.00853	0.22111	0.01468	0	0	0.1861	0.09214	0	0	0.07422	0.06198	0	0.01219	0	0.12215	0	0	0	0.01188	0.04892	0.07738	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__GGB4687	0	0.0609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.75091	0	0.10767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38815	0.18352	0	0	0	0	0	0	0	0	0	0	0.0546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__CFGB3069|o__OFGB3069|f__FGB3069|g__GGB9770	0	0.05611	0.0071	0.02262	0	0.01526	0	0.43732	0.01959	0	0.32818	0	0.00227	0	0.00685	0	0.14221	1.33189	0	0	0	0	0	0.06225	0	0	0.13651	0	0	0.00235	0	0	0.02368	0	0	0.14106	0	0.01563	0	0.02544	0	0.0072	0	0	0.00855	0	0.04863	0.00717	0.00403	0	0.06645	0.00036	0.04769	0	0.04297	0.02199	0	0.00381	0	0	0.00037	0.15897	0.01109	0.12497	0.40549	0.42716	0.0082	0.07541	0	0	0.01877	0	0	0	0	0.00553	0.12799	0.19231	0	0	0	0.05877	0.00428	0	0	0	0.00863	0.01178	0	0.00138	0.02864	0	0.08408	0	0	0.00081	0.03044	0.00561	0	0.00732	0.02472	0.03196	0.02593	0.0211	0.01861	0.07132	0.01907	0.00059	0	0	0	0	0.0391	0.01503	0.06651	0	0.02098	0.02039	0	0.94406	0	0	0.00194	0.08239	0	0.04422	0.0137	0.00148	0	0	2.01043	0	0.0116	0.00626	0	0.00262	0	0	0.10969	0	0.08822	0.04408	0.00635
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314|f__FGB10314|g__GGB4703	0	0.0558	0	0	0	0	0	0	0	0	0	0	0	0	0.03605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25052	0	0.00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00499	0	0	0	0	0	0.37062	0	0	0	0	0	0	0	0	0	0.05622	0	0.44998	0.00427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086	0	0	0	0	0.19617	0.21654	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__GGB3746	0	0.05495	0.2585	0	0.0312	0.01324	0	0.01151	0	0.02873	0.0263	0	0	0.19368	0	0	0	0.05874	0	0	0.29584	0.03048	0.00014	0.17169	0	0.15215	0.00144	0	0	0	0	0.19919	0.06492	0.03899	0	0.06859	0	0.08283	1.05135	0.0241	0	0	0.02385	0.00033	0.4111	0.08786	0	0.12737	0	0	0	0.11095	0	0	0	0	0.83036	0.0021	0.21213	0.04546	0.17565	0.00539	0.00886	0	0	0.00171	0	0	0.08002	0	0	0	0	0	0	0.00059	0.03121	0.13242	0	0	0.03309	0	0	0	0	0	0	0.08956	0	0	0.08474	0.06112	0.14835	0.0096	0	0.06806	0.02249	0.01214	0.03456	0	0	0	0.13138	0	0	0.06079	0	0	0.0361	0	0.12023	0.0156	0.00796	0.01009	0.00509	0.21279	0.04125	0.18887	0	0	0	0.08436	0.02169	0.17007	0	0.01932	0	0.03608	0	0	0.00859	0	0	0.00992	0	0.04309	1.55532	0	0.0296	0	0.02619	0.00881	0.01207
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Micrococcales|f__Micrococcaceae|g__Rothia	0	0.05316	0	0	0	0	0.00298	0	0	0.0011	0	0	0	0	0.0013	0	0.00016	0	0	0	0	0.00084	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01067	0	0	0	0	0.05189	0	0	0.00293	0	0	0	0	0	0.0019	0	0	0	0.00539	0	0	0	0	0	0	0	0	0.01982	0.00062	0	0	0	0	0.00256	0	0.01449	0	0	0	0	0	0	0	0	0	0	0	0.01767	0	0	0	0.00593	0.00079	0.00149	0	0.00338	0	0	0.00083	0.0016	0	0	0	0	0.00096	0	0	0	0	0	0.00114	0.00063	0	0	0	0.00898	0	0	0.00011	0.00142	0.00396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00403	0	0.0011	0	0	0	0	0.00178	0	0
k__Bacteria|p__Firmicutes|c__CFGB3048|o__OFGB3048|f__FGB3048|g__GGB9559	0	0.05063	0.04851	0.03313	0	0.00517	0.02709	0	0.01379	0.80441	0	0	0	0	0.07535	0.04274	0.07872	0	0	0.14737	0	0.01941	0.03819	0	0.04184	0.09781	0	0.05443	0	0.00279	0	0.01987	0.00651	0	0	0.08176	0	0.01786	0	0.02352	0	0	0.04378	0	0.0026	0	0	0.01155	0.06094	0	0	0.00563	0.14056	0.03906	0	0	0	0.08397	0	0	0.03853	0.04629	0.19051	0	0	0.12808	0	0.04634	0.00567	0	0.07067	0.25323	0.35538	0.06998	0	0	0.03923	0.04906	0	0	0	0	0	0.1889	0	0	0.00887	0.08623	0	0	0.04146	0	0.13289	0.37205	0	0.06497	0.09204	0.07941	0	0.28235	0	0.13032	0.03168	0.03047	0	0.05582	0.19109	0.06632	0.03311	0.01197	0.12139	0.12187	0.02537	0.03252	0.02632	0.07857	0.04381	0.03505	0.0028	0.30835	0	0	0.1177	0.05186	0	0.03617	0	0.14723	0.01355	0.03621	0	0	0	0.16024	0	0.13057	0	0.05894	0.01296	0	0.00934	0.02126	0.02236
k__Bacteria|p__Bacteroidetes|c__CFGB1670|o__OFGB1670|f__FGB1670|g__GGB47687	0	0.04936	0.08788	0.01764	0	0	0	0.13636	0	0	0.20787	0	0	0	0.1315	0	0.39407	0.06984	0.98304	0	0	0.19326	0	0.19012	0	0.07491	0.03698	0	0	0	1.33069	0.04735	0	0	0.01728	0.36268	2.07766	0	0	0.13051	0	0.02108	0	0	0.08273	0	0.25194	0	0	0	0.71058	0.03232	0	0	0	0	0	0.34131	0	0	0.22854	2.22169	0	0.7843	0	0	0	0.1832	0.42741	0.19326	0	0	0	0	0	0	0	0.20987	2.23865	0	0	0.11898	0	0	0.18313	0	0.0322	0.12066	0	0	0	0	0	0	0.04953	0.06052	0.08022	0.05346	0	0	0	0	0.14362	0.3094	0.17718	0.59979	0	0	0	0	0	0.18855	0.16052	0	0	0	0	0.07566	0	1.13173	0	0	0	0.55884	3.22023	0.14058	0.17117	0.27817	0	0	0.16416	0	0	0	0	0.00373	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__GGB4586	0	0.04888	0	0	0	0	0	0	0.00188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0	0	0.01644	0	0.0838	0	0	0	0	0.02141	0	0.12603	0	0	0.00966	0	0	0.03771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05642	0	0	0	0.10757	0	0	0	0	0	0	0	0	0.00227	0	0	0	0	0	0.42571	0	0.0833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311|f__FGB1311|g__GGB3142	0	0.0465	0.0529	0	0	0	0	0	0.04685	0	0.00419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06906	0.02895	0	0	0.00117	0	0	0	0	0	0.14406	0	0.04469	0	0.00077	0	0	0.08229	0	0	0	0.04694	0.07323	0	0	0	0.08961	0	0	0	0.06108	0	0	0	0	0.11032	0	0.008	0	0	0	0	0.23011	0	0	0.0132	0	0	0	0	0	0	0.22071	0	0	0	0	0	0	0	0	0	0.05796	0	0	0.01233	0	0	0	0	0.02105	0	0	0	0	0	0	0	0	0	0	0	0	0.01292	0	0.03249	0	0	0.02942	0	0	0	0	0	0	0	0	0	0	0	0	0.03311	0.06539	0	0	0	0	0.05221	0.03168	0	0.04654	0	0	0	0	0.02265	0.01232	0.03567
k__Bacteria|p__Firmicutes|c__CFGB76352|o__OFGB76352|f__FGB76352|g__GGB4571	0	0.03737	0	0	0	0	0	0.09108	0	0	1.15533	0	0	0	0	0	0	1.69851	0	0	0	0.61096	0	0.02112	0	0	0.70864	0	0	0	0	0.01971	0.35661	0	0	0.04012	0	0.87137	0	0	0	0.02985	0	0	0.00616	0	0	0	0	0	3.64297	0.00607	0	0	0	0.09078	0	0.04374	0	0	0.00396	0	0	0	0	0	0	0	2.3474	0	0	0.28867	0.0869	0	0	0	0.12178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20256	0	1.3528	0.56543	0	0	0	0	0	0	0	0	0	0	0	0.05379	0	0	0	0	0	0.00045	0	0.3367	0	0	0.26481	0.01855	0.01386	0.6441	0.49213	0	0	0	0	0	0	0	0.68932	1.56447	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified|g__GGB9545	0	0.03469	0.17962	0.01121	0	0.00039	0	0.05248	0	0	0.00147	0	0	0	0.0021	0	0	0.067	0	0	0	0.00349	0	0.04593	0	0	0	0	0	0	0	0	0.0289	0	0	0.08329	0	0	0	0.17945	0	0	0	0	0	0	0	0.00232	0.00301	0	0.00823	0.04523	0.01144	0	0	0.00323	0	0	0	0	0.05108	0.00376	0	0	0	0.00178	0	0.03075	0	0	0	0	0	0	0	0	0.0227	0.04073	0	0	0	0	0	0	0	0	0	0.00953	0	0	0	0	7.00E-05	0	0	0	0.06554	0.07334	0	0	0	0.01684	0.00049	0	0.00808	0.00036	0	0	0	0	0	0	0.01671	0.00658	0	0	0	0.00492	0	0.00556	0	0	0	0.00859	0	0.00099	0.00067	0.01765	0	0	0.06434	0	0	0	0	0.00848	0	0	0	0	0.01116	0	0
k__Bacteria|p__Firmicutes|c__CFGB540|o__OFGB540|f__FGB540|g__GGB79998	0	0.02821	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00785	0	0	0	0	0	0	0.00452	0	0	0	0.00723	0	0	0	0	0	0	0	0	0.00478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00101	0	0	0	0.03991	0	0	0.00261	0	0	0	0.0269	0	0	0	0	0.04213	0.01158	0.00207	0	0.00317	0	0	0	0	0	0.00235	0.02203	0	0	0	0	0	0.0026	0	0	0.00717	0.05854	0	0	0	0	0	0
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985|g__GGB9350	0	0.02722	0.11466	0	0	0	0	0	0	0	0.73776	0	0	0	0.01917	0	0	0	0	0	0	0	0	0	0	0	0.30535	0	0	0	0	0	0.02945	0	0	0.19248	0	0.05037	0	0.28479	0	0	0	0	0	0	0	0.08538	0	0	0	0	0	0	0	0.00228	0	0	0	0	0	0	0.01107	0.00082	0	0	0	0.12706	0	0	0	0	0	0	0	0	0.04638	0.02577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1601	0	0	0.26044	0	0.00261	0	0	0.00023	0	0	0.16848	0	0	0	0.00106	0	1.61416	0	0	0.0323	0	0	0.01025	0	0	0	0	0	0	0	0.00108	0	0.00385	0	0	0	0	0	0	0.03953
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__GGB33512	0	0.02592	0.08141	0.25927	0.00236	0.00076	0.0009	0.83186	0.01174	0	0.17336	0	0	0	0.00863	0	0.00638	1.27772	0	0	0	0.00311	0	0.73833	0	0	0.09168	0	0	0.01269	0	0	0.01048	0	0	0.12136	0	0.00175	0	0.44847	0	0.00348	0.00339	0.00675	0.01693	0	0.14751	0.00352	0.00572	0	0.22427	0.00704	0.00958	0.00555	0	0.02237	0	0.00013	0	0	0.00446	0.16121	0.03929	0.00698	0.04272	0.1487	0.00205	0.53556	0.00089	0	0.00123	0.00607	0.01811	0	0	0.02338	0.15435	0.47543	0	0	0	0.26302	0.00535	0	0.02687	0.00346	0.00711	0.00414	0	0.0049	0.03775	0	0.10664	0	0	0	0.01151	0	0	0.11732	0.00246	0.04485	0.01266	0	0.05909	0.02794	0.29383	0.01447	0.0072	0	0	0	0.07768	0.17045	0.00726	0	0	0.05232	0	0.25258	0	0	0.00166	0.42819	0	0.05934	0.00079	0.00068	0	0.00111	1.0165	0	0.05377	0.01609	0	0	0	0	0.00227	0	0.12666	0.02986	0.0008
