feature	Acidaminococcaceae	Aeromonadaceae	Akkermansiaceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Clostridia_unclassified	Clostridiaceae	Clostridiales_unclassified	Coprobacillaceae	Coriobacteriaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Eubacteriales_unclassified	FGB10477	FGB12107	FGB1227	FGB1249	FGB1292	FGB13104	FGB1354	FGB1473	FGB14936	FGB1670	FGB2982	FGB2992	FGB3048	FGB3068	FGB3069	FGB31455	FGB3529	FGB38642	FGB4405	FGB4806	FGB4881	FGB72924	FGB75721	FGB76185	FGB76352	FGB76465	FGB76763	FGB76783	Firmicutes_unclassified	Lachnospiraceae	Lactobacillaceae	Methanobacteriaceae	Odoribacteraceae	Oscillospiraceae	Peptostreptococcaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Sanguibacteraceae	Selenomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Tannerellaceae	Turicibacteraceae	Veillonellaceae	Other
HN1327	-5.66624697789775	NA	NA	NA	-3.44504976175466	-8.63936242136947	-2.6706118069193	-6.62631948456843	-5.03849504364273	-8.22965612918322	NA	-3.913725367474	-9.96016915006362	-6.95876866690814	NA	NA	-5.60821160039658	-6.47236794622487	-8.59522981804515	-6.07183040482495	NA	NA	-10.0040873117509	-11.6732385295202	-11.6186860468483	NA	NA	NA	NA	NA	NA	NA	-10.4807701477801	NA	NA	NA	NA	NA	NA	NA	-14.7417444432526	NA	NA	NA	NA	NA	NA	NA	-15.0986789879679	-1.58975225420849	-8.32771088028982	NA	-11.5621897668289	-3.17343949898987	-12.3376177181842	NA	NA	-4.30152091486476	-4.81827856279169	NA	-10.8679042834186	-19.25349709702	-8.36123890110182	-11.2485744184509	-8.10979502016205	-13.3831323774366	NA	-5.83627913045994
HT1321	-6.46388574171524	-11.9890531983676	-6.84807175556018	NA	-3.0648574557438	-5.53212287208147	-7.55584945286742	-8.43401521213311	-5.36189007037967	-8.68085477781297	NA	-4.17595767827735	-7.40869197504611	-6.77727171693424	-6.29941311218778	-9.97069693991072	-6.98243406146282	-7.39682711775253	-9.77043582072258	-8.62300113708867	-9.97504634037377	NA	-13.0948861103798	NA	NA	NA	NA	NA	NA	-6.9943778186257	NA	NA	NA	-8.9515709742327	-9.64431706045227	NA	NA	-4.46733786465928	NA	-6.00743255004448	-13.2214500716634	NA	-9.45918147685379	NA	-13.0031973806879	NA	-6.57385076624856	NA	-7.43653716680812	-1.76058887181717	-5.78792939378485	-6.34594787454749	-7.41411975574829	-2.59216652559795	-9.95000042180387	-7.72611043003768	-9.21440539659565	-4.27091715194063	-7.76295825831043	-8.10621136222756	NA	-7.95271426902528	-8.44966738780342	-7.9526070466417	-6.19891267694351	-11.2492753322761	-20.4461408765366	-5.53198936028988
IM1354	NA	NA	NA	-10.395710443516	-4.00995350377113	-9.46722746937152	-6.08875708586657	-10.3947389970846	-4.44322358612666	-11.5145604153438	-7.56298069564845	-4.98763485929671	-8.92538320218633	-8.14619827538552	-11.7153081649676	-7.35265386884492	-6.32829039226422	-6.76909899450891	-10.8627907241472	-3.99910739249589	NA	NA	NA	-14.9497163488429	NA	NA	NA	NA	NA	NA	-15.4525971970997	NA	NA	-7.42345236772639	NA	NA	NA	NA	-7.89701073802424	-6.62087102446266	-11.1548070003464	-10.8507514745243	NA	NA	NA	NA	-9.65045035713616	NA	-7.52361086423323	-2.03270313228693	-10.8204333318979	NA	-9.69018163813369	-2.78658321900279	-7.98791867506216	-2.05768396796296	NA	-6.37282544065594	-7.57891860207072	NA	-9.14122050538071	-9.19618221923728	-9.89429661188635	-13.9497163488429	-7.52592225865163	-12.0031986791137	-4.46022719549558	-7.82134671910214
JA1369	-5.22951438176323	-18.1242130701884	-4.40656112468023	NA	-3.67072745917565	-7.7485840173967	-5.41508001133607	-7.53191622260991	-5.88751546044474	-10.3087840260899	-11.6355695303347	-5.12167428621554	-9.08466729907205	-6.3002544964265	-17.1874068966756	-17.0055685736898	-6.80420232817642	-5.90908747307004	-8.5406467087456	-6.07657302817608	NA	-6.29055490793423	-7.26454517953178	NA	-13.8314313209606	NA	NA	NA	NA	NA	NA	NA	-14.2394756168185	NA	-12.6779568402989	NA	NA	-12.7358266989996	NA	NA	NA	NA	-10.1800239331569	NA	NA	NA	-11.7206531761721	NA	-9.55089048502316	-1.2515807844002	-10.5797453476953	NA	-11.726019081073	-2.29460287310198	-13.7616429908037	-15.4397148959164	NA	-7.44410475598076	-6.60094517161946	NA	-16.231128274105	-17.3227587495705	-8.66366941247797	-10.7496703491377	-9.32618107632445	NA	-6.5200305232905	-5.00165312178038
JK1312	NA	NA	NA	NA	-1.64115759230832	NA	-5.2812566796996	-6.07784908146628	-3.92187494000754	-8.09224608439076	NA	-7.48958350250528	-8.36175984176937	-6.35710454983407	NA	-18.4461411650758	-4.88823733016114	-8.22567646138648	-9.83182569748341	-4.34483960002564	NA	NA	-15.0686207442251	-16.7299341310764	NA	NA	NA	NA	NA	NA	NA	NA	NA	-11.0121087231345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-13.1567809326449	-1.92879417260364	NA	NA	-7.07362586334891	-3.31971755981188	-7.00527199746493	NA	NA	-5.06799632349098	-7.94348692129049	NA	NA	-14.4820066176328	-10.3943495917074	-7.29498868318784	-7.03007881674406	NA	-5.25317692264006	-7.06367152825339
KK1350	-5.21541824237043	NA	-4.94787501366638	NA	-4.47279278958845	-6.31102725554892	-4.39062252988899	-10.8703316822287	-5.12356397988653	-9.50918765818817	-6.86888080479233	-4.90986344569341	-8.29875436190383	-6.92434781401187	-11.9158740408713	NA	-5.30277489074478	-6.10635065436586	-7.23062968851634	-6.30151691584924	NA	NA	NA	NA	-16.8959439382458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-10.9925764092009	-1.23651597491307	-9.89484474197095	NA	-9.10883770003195	-3.47734407159819	-8.02317522720272	-4.38051752744502	NA	-4.55312396101844	NA	NA	-4.99955153559773	-16.3109814375246	-10.3325848769404	-7.47842584800284	-4.87325473505919	NA	NA	-6.90480236283541
KM1329	NA	-13.6779575616465	-14.8022856966487	NA	-6.82467866850145	-8.95142913595451	-3.10074654074324	-10.821999204223	-5.08639722763367	-10.9943420396142	-6.62172292251277	-4.30825588822491	NA	-5.66989980809134	NA	-7.01509206915595	-7.22472738795762	-8.40291926127542	-10.2803375938913	-6.30584845684777	-19.5530570903399	-5.23266332478948	-13.8633278522809	-11.3146523510149	-9.60457753869285	NA	NA	NA	NA	NA	-13.5881608912959	NA	-12.658239327032	-8.44589032230818	-16.1449723517029	NA	-7.86326066424773	-8.42322920221205	-6.94231614842768	-6.28101056595	-10.6073881669749	-13.6517260200733	NA	NA	NA	-14.4111464650672	NA	-8.24528705844924	-6.76327267272148	-1.74208724859368	-6.62651874679817	NA	-11.1271149779384	-2.48093092932119	-7.50166511772995	-5.13239335508954	NA	-6.22161256702044	-5.20051490824099	-8.73269399718393	-7.33449385414967	NA	-6.4634156342414	-13.271929526578	-7.65219028235919	-7.94473117687751	-4.33119987243871	-5.96176851109385
LT1311	NA	NA	-11.788950481069	-10.2696119392383	-2.16826173922265	NA	-5.10978917287186	-8.23560041404672	-4.62955760155779	-9.49693990887887	NA	-8.22252741585853	-6.67752865943554	-6.39171868414727	-12.0692407359976	-14.8188680037662	-4.81436336415267	-11.2938564670388	-11.2401735579775	-4.90746302645213	NA	NA	NA	-15.4919449989585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-9.70250901688144	-17.3227588938401	NA	NA	-12.1961813536203	-17.6096400416282	NA	NA	NA	NA	NA	NA	-9.60795037322402	-1.36065625354987	NA	NA	-7.31874570301999	-2.64487772727606	-13.7616431350733	NA	NA	-7.11716591861738	-6.79539405688851	-8.25940802021649	NA	NA	-10.5071918637017	NA	NA	-12.9914013860328	-6.02279087336504	-6.22306617315277
MK1305	-7.51912973894972	NA	-6.20852500075779	-18.0440420001565	-2.44494747577662	-6.55279827872113	-4.29461135336231	-8.87296665904133	-7.97239846051074	-9.42595417561291	NA	-5.16136280952261	-12.3815901281262	-5.91950148302406	-6.40495799989512	NA	-7.27518710146748	-6.84473442025257	-8.04115097922627	-5.19185521185986	NA	NA	-9.02798664554941	-11.4688605202279	-9.4036016297641	NA	NA	NA	NA	NA	NA	-13.1914492280649	-13.0282879288419	-9.65625752020814	NA	NA	-12.483657522156	NA	NA	NA	-9.8757425707632	NA	NA	-9.50876662353566	NA	NA	-7.87726820985023	NA	-11.8888135099209	-1.4515273539689	-11.123568432275	NA	-7.98119363587351	-3.14280943589875	-6.00312291986045	-10.2529671317986	NA	-4.01170302691499	-6.75865540307666	-7.69516434539771	-13.1050187836071	-17.1874061753276	-9.23581698878904	-7.34691006021574	-5.60679603796738	NA	NA	-6.80817330722689
MO1363	-9.15983209602265	-8.9587329192235	-8.92125085146308	-16.231129428261	-3.57167548846341	-5.77698043144256	-2.96745507141535	-6.83696358108985	-5.16534048543472	-9.48976616198216	NA	-5.18988623538669	-14.5086634037899	-6.60872556882314	-13.6893477513037	-7.42379927796551	-7.99169613409413	-7.34217547979695	-8.98371308154186	-5.57787782834796	-8.04149491022177	-6.84354286244163	-12.1827054318664	-8.70847245605438	-11.7461981171667	NA	NA	NA	NA	-7.48334957374795	-10.2041591695375	NA	-10.9130907504361	-9.29213798948544	-10.2452437141934	NA	-10.0162872805344	-5.58782128924398	NA	-4.99031516724371	-8.91552697162304	NA	-8.7408802176339	NA	-17.7616441449598	-8.64651377092192	-14.0222760605783	-6.88012226881128	-8.59272136310683	-2.95892024018941	-5.04624455131705	-5.52723916141745	-8.20965824278943	-2.39083794105412	-6.79481828995662	NA	NA	-4.48480244872142	-3.88474781607542	-7.98945788962534	-9.54840488576697	-9.33035549066817	-10.6367186872893	-6.4121417456619	-6.27125006585302	NA	-6.53241140697464	-6.11551549742089
