"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"model"	"N"	"N_not_zero"
"PYRIDNUCSAL.PWY..NAD.salvage.pathway.I..PNC.VI.cycle."	"duration"	"Week 6"	"durationWeek 6"	0.0614003176925377	0.330305253559243	0.818030243081258	1	1.4289767600085e-17	2.17204467521293e-15	"abundance"	70	64
"PWY.622..starch.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	3.56939480848002e-07	1.92051577277959	0.999999851708325	1	0.000844971564682346	0.0350279121359227	"prevalence"	70	66
"GLYCOLYSIS.TCA.GLYOX.BYPASS..superpathway.of.glycolysis..pyruvate.dehydrogenase..TCA..and.glyoxylate.bypass"	"duration"	"Week 6"	"durationWeek 6"	2.92611266871197	1.00587417480633	0.0189622921235656	NA	0	0	"abundance"	70	9
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DAPLYSINESYN.PWY..L.lysine.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000579231499361152	0.029347729300965	"prevalence"	70	70
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PWY.7115..C4.photosynthetic.carbon.assimilation.cycle..NAD.ME.type"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000414611419216552	0.0271079767714297	"prevalence"	70	70
"PWY.7356..thiamine.diphosphate.salvage.IV..yeast."	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00517856843724059	0.157428480492114	"prevalence"	70	70
"PWY.8131..5..deoxyadenosine.degradation.II"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.00339244960218835	0.110496929899849	"prevalence"	70	70
"PWY0.1061..superpathway.of.L.alanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	NA	NA	NA	NA	0.000494744226413344	0.0282004209055606	"prevalence"	70	70
