"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY.6387..UDP.N.acetylmuramoyl.pentapeptide.biosynthesis.I..meso.diaminopimelate.containing."	"duration"	"Week 6"	"durationWeek 6"	0.00391496615774944	0.0251989495788221	0.64505112724342	1	0.64505112724342	1	NA	"abundance"	68	68
"PWY.6396..superpathway.of.2.3.butanediol.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.546217445064174	0.456474337714809	0.265778753665742	1	0.460919161431369	1	NA	"abundance"	68	19
"PWY.6435..4.hydroxybenzoate.biosynthesis.III..plants."	"duration"	"Week 6"	"durationWeek 6"	0.0188262429836199	0.313863572089887	0.99606900145041	1	0.212535312364983	1	NA	"abundance"	68	14
"PWY.6470..peptidoglycan.biosynthesis.V...beta..lactam.resistance."	"duration"	"Week 6"	"durationWeek 6"	0.0279315811427113	0.109257336727932	0.947363582318095	1	0.947363582318095	1	NA	"abundance"	68	68
"PWY.6471..peptidoglycan.biosynthesis.IV..Enterococcus.faecium."	"duration"	"Week 6"	"durationWeek 6"	-0.379309483027489	0.711351969499573	0.600557013930032	1	0.840445300879508	1	NA	"abundance"	68	11
"PWY.6478..GDP.D.glycero..alpha..D.manno.heptose.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.157081019950306	0.623156590227331	0.831947776475695	1	0.90565372977678	1	NA	"abundance"	68	23
"PWY.6507..4.deoxy.L.threo.hex.4.enopyranuronate.degradation"	"duration"	"Week 6"	"durationWeek 6"	-0.0459362038282186	0.113093413752445	0.569771132203882	1	0.569771132203882	1	NA	"abundance"	68	68
"PWY.6518..bile.acids.epimerization"	"duration"	"Week 6"	"durationWeek 6"	-0.189346053623721	0.341700424341511	0.554793820355075	1	0.352341765660794	1	NA	"abundance"	68	22
"PWY.6519..8.amino.7.oxononanoate.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	0.0645447136850705	0.137648477626517	0.754423766445802	1	0.754423766445802	1	NA	"abundance"	68	68
"PWY.6527..stachyose.degradation"	"duration"	"Week 6"	"durationWeek 6"	0.0438274290681256	0.0544687144929353	0.69920858642338	1	0.69920858642338	1	NA	"abundance"	68	68
"PWY.6531..mannitol.cycle"	"duration"	"Week 6"	"durationWeek 6"	-0.141964942778958	0.261608510246712	0.541663401954176	1	1.37741606029248e-09	6.23969475312495e-07	NA	"abundance"	68	60
"PWY.6545..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.III"	"duration"	"Week 6"	"durationWeek 6"	0.257236661818044	0.35844651178151	0.514886913546087	1	0.764665293351158	1	NA	"abundance"	68	65
"PWY.6549..L.glutamine.biosynthesis.III"	"duration"	"Week 6"	"durationWeek 6"	0.0897142926627602	0.101053027281952	0.510938579016333	1	0.510938579016333	1	NA	"abundance"	68	68
"PWY.6572..chondroitin.sulfate.degradation.I..bacterial."	"duration"	"Week 6"	"durationWeek 6"	-0.0042982725925198	0.302795649187358	0.935669623426147	1	0.828682190260397	1	NA	"abundance"	68	55
"PWY.6588..pyruvate.fermentation.to.acetone"	"duration"	"Week 6"	"durationWeek 6"	-0.170129608213774	0.158629086359483	0.243418633174359	1	0.243418633174359	1	NA	"abundance"	68	68
"PWY.6590..superpathway.of.Clostridium.acetobutylicum.acidogenic.fermentation"	"duration"	"Week 6"	"durationWeek 6"	-0.0642457078415846	0.0966849756536415	0.401853419427731	1	0.401853419427731	1	NA	"abundance"	68	68
"PWY.6595..superpathway.of.guanosine.nucleotides.degradation..plants."	"duration"	"Week 6"	"durationWeek 6"	-0.238763215613671	0.216710777525884	0.243030968091151	1	0.42699788473098	1	NA	"abundance"	68	67
"PWY.6606..guanosine.nucleotides.degradation.II"	"duration"	"Week 6"	"durationWeek 6"	0.0424527957902883	0.0677760241839644	0.762579632657725	1	0.762579632657725	1	NA	"abundance"	68	68
"PWY.6607..guanosine.nucleotides.degradation.I"	"duration"	"Week 6"	"durationWeek 6"	-0.245303837357802	0.217402014479184	0.233122952870885	1	0.411899594586529	1	NA	"abundance"	68	67
"PWY.6608..guanosine.nucleotides.degradation.III"	"duration"	"Week 6"	"durationWeek 6"	0.00859373775319107	0.0904755447002269	0.899792221091366	1	0.899792221091366	1	NA	"abundance"	68	68
"PWY.6609..adenine.and.adenosine.salvage.III"	"duration"	"Week 6"	"durationWeek 6"	0.0182612430238444	0.0213052504728128	0.9466888191786	1	0.9466888191786	1	NA	"abundance"	68	68
"PWY.6612..superpathway.of.tetrahydrofolate.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.178470865842539	0.180043558846868	0.390862525800886	1	0.628951537526323	1	NA	"abundance"	68	67
"PWY.6628..superpathway.of.L.phenylalanine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.00416753555570809	0.0748680900747739	0.756894620553097	1	0.756894620553097	1	NA	"abundance"	68	68
"PWY.6629..superpathway.of.L.tryptophan.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	-0.00633795260676142	0.0319300144204441	0.513848023673748	1	0.513848023673748	1	NA	"abundance"	68	68
"PWY.6630..superpathway.of.L.tyrosine.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0327910943978977	0.107311243396084	0.911565115974593	1	0.911565115974593	1	NA	"abundance"	68	68
"PWY.6700..queuosine.biosynthesis.I..de.novo."	"duration"	"Week 6"	"durationWeek 6"	-0.00840184092965381	0.0221708308822762	0.395821195745151	1	0.395821195745151	1	NA	"abundance"	68	68
"PWY.6703..preQ0.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0198862665494701	0.0349620150781002	0.988956915468095	1	0.988956915468095	1	NA	"abundance"	68	68
"PWY.6731..starch.degradation.III"	"duration"	"Week 6"	"durationWeek 6"	0.157313930380333	0.0739417784624345	0.089356150239242	1	0.089356150239242	1	NA	"abundance"	68	68
"PWY.6749..CMP.legionaminate.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	0.2859804889265	0.652258494260376	0.69392714584439	1	0.355833265746219	1	NA	"abundance"	68	26
"PWY.6803..phosphatidylcholine.acyl.editing"	"duration"	"Week 6"	"durationWeek 6"	-0.0196359598973909	0.51839574976021	0.939201663855704	1	0.935229614046557	1	NA	"abundance"	68	37
"PWY.6807..xyloglucan.degradation.II..exoglucanase."	"duration"	"Week 6"	"durationWeek 6"	0.331756605836184	0.269007029967819	0.266611899488338	1	0.462141894027896	1	NA	"abundance"	68	36
"PWY.6823..molybdopterin.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0909661293290653	0.0833927547423405	0.423617598523583	1	0.423617598523583	1	NA	"abundance"	68	68
"PWY.6859..all.trans.farnesol.biosynthesis"	"duration"	"Week 6"	"durationWeek 6"	0.0431587615691998	0.244352426821944	0.926957184049297	1	0.994664747037992	1	NA	"abundance"	68	67
"PWY.6876..isopropanol.biosynthesis..engineered."	"duration"	"Week 6"	"durationWeek 6"	-0.363242652165625	0.34713514608677	0.282785755279995	1	0.485603727170712	1	NA	"abundance"	68	36
"PWY.6892..thiazole.component.of.thiamine.diphosphate.biosynthesis.I"	"duration"	"Week 6"	"durationWeek 6"	0.0720075312113442	0.0521744972169349	0.380085562865865	1	0.380085562865865	1	NA	"abundance"	68	68
"PWY.6895..superpathway.of.thiamine.diphosphate.biosynthesis.II"	"duration"	"Week 6"	"durationWeek 6"	0.0482238353088111	0.141976451810574	0.8483876070991	1	0.8483876070991	1	NA	"abundance"	68	68
